"ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
1,0.280047200647184,0.194280978837589,NA,-0.361841723340044,-0.107900275266129,-0.191965694579514,-0.552456522069932,-0.552196121424157,-0.107078760509143,0.061817309870368,0.359734337338411,0.214960900992841,0.119623578394838,0.12701887021386,0.657462746691728,0.2065829969322,-0.326686676160961,0.407695404314382,0.808422520236893,-0.106615961707342,-0.023667973792894,0.49434892014631,0.26061945560084,0.41524846101206,0.315288349179215,-0.0165703894493465,-0.315288349179215,NA,0.139524593340793,0.161941740181148,0.419845704208648,0.0843821225841966,0.181077700851685,0.3085236715426
0.280047200647184,1,0.830977028263457,NA,0.167458054207942,0.380661832871602,-0.213866175400461,0.00287353296716474,0.21921651238573,0.247648022420095,-0.101171150380035,0.0901623380575255,-0.274287978554242,0.412817400600231,-0.234858246416625,0.347036592020129,-0.104096945866369,0.0897779957278335,-0.085075058444921,0.3913284323001,0.391660021489407,0.446417719767124,-0.299991184409325,-0.513287059510033,0.48490387691943,0.486407423764585,0.459730474766891,-0.486407423764585,NA,-0.190324941812761,-0.146832495448914,0.237371857845993,0.104865784634387,-0.169525426837668,0.410783443709058
0.194280978837589,0.830977028263457,1,NA,0.0933628276947099,0.39379298435424,-0.213260596658428,-0.118009941588424,0.472264210480954,0.300906712730495,-0.233786433873464,0.178455537398703,-0.302085322362227,0.42050381448311,-0.364577045106363,0.343943597286375,-0.105151572380551,0.0673957010804759,-0.231585726017151,0.296002120677162,0.398147039431104,0.536911934446426,-0.544790579580323,-0.75570520074269,0.477758290563861,0.586636103376666,0.548732562928949,-0.586636103376666,NA,-0.245139900572147,-0.221190000262878,0.335830727176013,0.318802771528102,-0.280087999310056,0.52963265558969
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.361841723340044,0.167458054207942,0.0933628276947099,NA,1,0.191973610917378,-0.0997085751048111,0.383912473302313,0.381660673747968,0.104883955346357,-0.0103379999033231,-0.291092631458174,-0.262171018610101,0.232118053546627,-0.12345875047467,-0.1522963532211,-0.118441375715208,0.207617035430897,-0.138005888022538,-0.181844360914723,0.461128150495217,0.545946756004777,-0.365602413553153,-0.193444194800328,-0.040625425165294,0.314278101583693,0.547187863893191,-0.314278101583693,NA,-0.079053479606375,-0.10168698807282,0.0538314309930834,0.396878321325257,-0.131032799113253,-0.0176715679104356
-0.107900275266129,0.380661832871602,0.39379298435424,NA,0.191973610917378,1,-0.243055412188732,-0.176052643080879,0.0633113628783541,0.266372301599351,-0.513337280391418,0.568743623821344,0.427669619175318,0.164590087839028,-0.560166965843363,0.000651237891321327,-0.170967985216813,0.749977720646351,-0.292100231728602,-0.085405712542114,0.504910335590355,0.304239491581647,-0.0889710414800313,-0.101459224036842,-0.331191527456381,0.240228154928771,0.306874252303492,-0.240228154928771,NA,-0.199028255402377,-0.235730784006545,0.579621880684147,0.511865530157313,-0.53756402194079,0.286452640463653
-0.191965694579514,-0.213866175400461,-0.213260596658428,NA,-0.0997085751048111,-0.243055412188732,1,-0.224464500541901,0.209703452786772,0.242170634509684,-0.0469238973239601,0.0977810818196708,-0.0343988531664274,-0.740867073049184,-0.27599591083293,-0.283025091455161,-0.371808024292151,-0.00968818233404898,-0.421406300117919,-0.280444369694391,-0.470445276317318,-0.255997315278807,-0.240093958016316,-0.0739622129247087,-0.255859067543481,-0.391338847601812,-0.291431487944203,0.391338847601812,NA,-0.161808303778521,-0.193806916074715,-0.227081613697939,-0.218935136271332,-0.24408687902956,0.147724800504567
-0.552456522069932,0.00287353296716474,-0.118009941588424,NA,0.383912473302313,-0.176052643080879,-0.224464500541901,1,0.360234596747096,0.245548710970571,0.275959412846235,-0.883016838782472,-0.699511395725319,0.330989996751982,0.295387922370259,-0.558982877631736,-0.239393346184264,-0.0579759440688126,-0.244250523807318,-0.591665991691717,0.169345811422409,0.0638695706303253,-0.293689491472799,-0.295898369972235,0.0775642222530959,-0.0650889643590224,0.0807693453787622,0.0650889643590223,NA,-0.239052821276704,-0.275518620942285,-0.393012758699961,-0.275752020987109,0.250119511865902,-0.313136815722524
-0.552196121424157,0.21921651238573,0.472264210480954,NA,0.381660673747968,0.0633113628783541,0.209703452786772,0.360234596747096,1,0.318934695691596,0.0573394167192142,-0.337206770190662,-0.649440983953173,0.201912642757229,-0.228752706624227,-0.3181075875511,-0.395158922484209,0.0523787873999045,-0.564974368615954,-0.418019133669711,0.342870852168723,0.201547174361601,-0.990898174574688,-0.797503371560083,0.205186636264181,0.100127665231882,0.208414247983026,-0.100127665231882,NA,-0.238701777185767,-0.282331340938999,-0.0802990687783247,0.214322730489082,-0.177850593228317,0.275414378762529
-0.107078760509143,0.247648022420095,0.300906712730495,NA,0.104883955346357,0.266372301599351,0.242170634509684,0.245548710970571,0.318934695691596,1,-0.433920613316914,-0.148348904398682,-0.288466151292731,-0.127834466673798,-0.46210685187512,-0.0932809072030548,-0.253362440857613,0.108868693518371,-0.373500626432812,-0.178483770103466,-0.00734227150321305,0.14861511158224,-0.316803608213713,-0.314125973839441,-0.226256426441765,0.0380371271485292,0.138419379192934,-0.0380371271485292,NA,-0.957309834882245,-0.984328098210027,0.197830626885889,-0.189602329084597,-0.431605304515391,0.208287446204247
