"Metric","Mean_stability_k_2","Mean_stability_k_3"
"ANOnto","1","0.816468253968254"
"APWND",NA,NA
"APWNN",NA,NA
"APWNS",NA,NA
"AROnto","0.953373015873016","0.692195767195767"
"CBOOnto","0.88219246031746","0.706825396825397"
"CROnto","0.760347222222222","0.658214285714286"
"CWND","1","0.809246031746032"
"CWNN","1","0.866666666666667"
"CWNS",NA,NA
"DITOnto","0.969444444444444",NA
"DxC","1","0.893452380952381"
"DxP","0.955109126984127","0.907440476190476"
"INROnto","0.985416666666667","0.834444444444444"
"LCOMOnto","0.969444444444444",NA
"LRClassPCT","0.883758116883117",NA
"LRsxC","0.793837481962482",NA
"NACOnto","0.942708333333333",NA
"NLR","1",NA
"NLRC","1",NA
"NOCOnto","0.928482142857143","0.872916666666667"
"NOMOnto","0.929315476190476","0.817063492063492"
"NxC","1","0.866666666666667"
"NxP","0.953928571428571","0.952777777777778"
"POnto","0.969444444444444",NA
"PROnto","1","0.933333333333333"
"RFCOnto","0.89860119047619","0.806944444444444"
"RROnto","1","0.933333333333333"
"SxAP",NA,NA
"SxC",NA,NA
"SxP",NA,NA
"TMOnto","0.692102272727273",NA
"TMOnto2","1",NA
"WMCOnto","0.972222222222222",NA
"WMCOnto2","1",NA
