Repository;Ontology;CreationDate;Format;Filename;Done;OQUARE.xml;OQUARE.ttl;HURON_long.tsv;HURON_wide.tsv;HURON.ttl;FILE_OK;IRIOquare;IRIHuron;IRI_OK;OK;Length;URL
data.bioontology.org;PHIPO;20240404;OWL;phipo-20240404-owl__phipo.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/phipo/releases/2024-04-04/phipo.owl;http://purl.obolibrary.org/obo/phipo/releases/2024-04-04/phipo.owl;T;T;12880533;https://data.bioontology.org/ontologies/PHIPO/submissions/28
data.bioontology.org;PINO;20220214;OWL;pino-20220214-owl__PINO-V2.owl;T;T;T;T;T;T;T;http://www.semanticweb.org/luyu/ontologies/2021/3/pregnancy_information_needs_ontology;http://www.semanticweb.org/luyu/ontologies/2021/3/pregnancy_information_needs_ontology;T;T;121317;https://data.bioontology.org/ontologies/PINO/submissions/2
data.bioontology.org;PLANA;20230313;OWL;plana-20230313-owl__plana.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/plana/releases/2023-03-13;http://purl.obolibrary.org/obo/plana/releases/2023-03-13;T;T;2529953;https://data.bioontology.org/ontologies/PLANA/submissions/36
data.bioontology.org;PLANP;20200330;OWL;planp-20200330-owl__planp.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/planp/releases/2020-03-28/planp.owl;http://purl.obolibrary.org/obo/planp/releases/2020-03-28/planp.owl;T;T;10529138;https://data.bioontology.org/ontologies/PLANP/submissions/5
data.bioontology.org;PLANTSO;20231114;OWL;plantso-20231114-owl__pso.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/pso/releases/2023-11-14/pso.owl;http://purl.obolibrary.org/obo/pso/releases/2023-11-14/pso.owl;T;T;5002081;https://data.bioontology.org/ontologies/PLANTSO/submissions/3
data.bioontology.org;PLIO;20141103;OWL;plio-20141103-owl__Protein-Ligand-Interaction-Ontology-PLIO-revised.owl;T;F;F;T;T;T;F;;;F;F;767315;https://data.bioontology.org/ontologies/PLIO/submissions/1
data.bioontology.org;PLOSTHES;20170921;SKOS;plosthes-20170921-skos__plosthes.2017-1.SKOS.rdf.xml;T;F;F;T;T;T;F;;;F;F;6810058;https://data.bioontology.org/ontologies/PLOSTHES/submissions/10
data.bioontology.org;PO;20240418;OBO;po-20240418-obo__po.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/po-20240418-obo__po.obo;http://purl.obolibrary.org/obo/po/releases/2024-04-17/po.owl;T;T;1335592;https://data.bioontology.org/ontologies/PO/submissions/28
data.bioontology.org;PP;20141217;OWL;pp-20141217-owl__PipelinePatterns.owl;T;T;T;T;T;T;T;https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PipelinePatterns.owl;https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PipelinePatterns.owl;T;T;9585;https://data.bioontology.org/ontologies/PP/submissions/1
data.bioontology.org;PPLC;20200113;OWL;pplc-20200113-owl__PlacentalPathologyLesionClassification.owl;T;T;T;T;T;T;T;file:///home/jredondo/tfm/production/2-metrics/ttl/data.bioontology.org/--;;F;F;1425582;https://data.bioontology.org/ontologies/PPLC/submissions/1
data.bioontology.org;PPO;20181029;OWL;ppo-20181029-owl__ppo.owl;T;T;T;T;T;T;T;https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl;https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/releases/2018-10-26/ppo.owl;T;T;1590150;https://data.bioontology.org/ontologies/PPO/submissions/8
data.bioontology.org;PR;20240216;OBO;pr-20240216-obo__pro-reasoned.obo;T;F;F;F;F;F;F;;;F;F;222791341;https://data.bioontology.org/ontologies/PR/submissions/88
data.bioontology.org;PREGONTO;20181031;OWL;pregonto-20181031-owl__pregnancy-ontology-v0-1-20181019.owl;T;F;F;T;T;T;F;;http://www.clininf.eu/pregnancy;F;F;14305;https://data.bioontology.org/ontologies/PREGONTO/submissions/1
data.bioontology.org;PROCCHEMICAL;20160107;OWL;procchemical-20160107-owl__propChemical.owl;T;F;F;T;T;T;F;;http://sweet.jpl.nasa.gov/2.3/propChemical.owl;F;F;10352;https://data.bioontology.org/ontologies/PROCCHEMICAL/submissions/1
data.bioontology.org;PROCO;20240508;OWL;proco-20240508-owl__proco.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl;http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl;T;T;1418368;https://data.bioontology.org/ontologies/PROCO/submissions/1
data.bioontology.org;PSDO;20230308;OWL;psdo-20230308-owl__psdo.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/2022-02-23/psdo.owl;F;F;60299;https://data.bioontology.org/ontologies/PSDO/submissions/6
data.bioontology.org;PSIMOD;20220614;OBO;psimod-20220614-obo__PSI-MOD.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/psimod-20220614-obo__PSI-MOD.obo;http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl;T;T;1830852;https://data.bioontology.org/ontologies/PSIMOD/submissions/26
data.bioontology.org;PTO;20230718;OWL;pto-20230718-owl__to-basic.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/pto-20230718-owl__to-basic.obo;http://purl.obolibrary.org/obo/subsets/to-basic.owl;T;T;617488;https://data.bioontology.org/ontologies/PTO/submissions/437
