"Metric","AgroPortal","BioPortal","BiodivPortal","EarthPortal","EcoPortal","IndustryPortal"
"ANOnto",0.654672253324463,0.483695458893229,0.972219866983909,2.67036395837241,1.30731057840006,0.738341325171127
"APWND",0.147648021848426,0.275779753359628,0.165528191798583,0.0913242121223495,0.127850057281748,0.530990731352717
"APWNN",0.275548440579895,0.393627106655336,0.208651411458675,0.0913242121223495,0.170253185630016,0.531245980605497
"APWNS",0.0141153586235607,0.0646402220064537,0.00252684522897863,0,0.00270155497647293,0
"AROnto",1.79593902770054,1.74173355775112,2.35056806592308,2.04298379448408,1.68397224829375,1.30197179362057
"CBOOnto",1.24869334524206,9.09285518361895,3.74126262087185,0.999657175314385,0.379397429968651,0.4049182144106
"CROnto",4.22113392140755,11.6592963217082,3.99312227395533,2.32151397488182,3.07812765744519,1.61849915448718
"CWND",1.00043845539784,0.976108094399089,0.963520296557274,0.373513696614572,0.548098575954498,0.822617961334631
"CWNN",2.10948412361948,3.39729223051817,1.31841257470173,0.373513696614572,0.682189154134169,1.49256384198065
"CWNS",0.370231072780867,0.413081829351337,0.386787149600383,0,0.123212492595664,0.0802339868838056
"DITOnto",0.728658749057347,0.623392795270351,1.12202990651369,0.160736482603288,1.66253265049652,0.432948778954116
"DPWND",NA,NA,NA,NA,NA,NA
"DPWNN",NA,NA,NA,NA,NA,NA
"DPWNS",NA,NA,NA,NA,NA,NA
"DxAP",NA,NA,NA,NA,NA,NA
"DxC",1.00701500934195,0.710686977283104,0.968538066144489,2.0904056879816,1.38800478916512,1.02040319087874
"DxDP",NA,NA,NA,NA,NA,NA
"DxOP",NA,NA,NA,NA,NA,1.14711569223414
"DxP",1.11158846467487,0.983429383387219,1.34183056540163,2.31242289913581,1.56790499719111,0.971642665471422
"INROnto",0.169450780216347,0.172454976655094,0.152370178152804,0.196985115162242,0.233039152771529,0.00960415785472392
"LCOMOnto",0.630395969772466,0.567365471624165,0.912525930798536,0.158119241743467,1.00392094440808,0.471968143271466
"LRClassPCT",2.96274811919842,4.58428743228192,4,NA,3.09978332953103,1.97567108331166
"LRsxC",2.30095730395534,5.59281650807701,3.57071555401327,4,2.29693972263635,1.6168978361085
"LSLD",NA,NA,NA,NA,NA,NA
"NACOnto",0.140250644374153,0.18518787748885,0.102415077698334,0.0719949837853976,0.087024783578031,0.0156491815278815
"NLR",1.38213961139007,2.84428321184196,1.74049801302194,4,2.32691424735204,1.11992389838781
"NLRC",1.67284818576928,2.04706623208713,4,NA,2.13937445925744,1.51393890870264
"NOCOnto",1.61102687698245,7.85711721527231,3.7079408935784,1.01377709931367,0.529009561994772,0.307049973558088
"NOMOnto",6.21382716661311,2.67774906568625,2.32653614598108,2.50756785422614,1.41295728285953,0.686518912195114
"NxAP",NA,NA,NA,NA,NA,NA
"NxC",0.657957319621943,0.356581373172298,1.04064132493606,2.01284069513917,1.33522136411195,0.679386098522187
"NxDP",NA,NA,NA,NA,NA,NA
"NxOP",NA,NA,NA,NA,NA,0.838977376222183
"NxP",0.619797474042977,0.569847957120414,1.11057254263367,2.18745077987585,1.30227985370476,0.881636290078141
"OPWND",NA,NA,NA,NA,NA,0.828419486222229
"OPWNN",NA,NA,NA,NA,NA,1.22442482074061
"OPWNS",NA,NA,NA,NA,NA,0.116741485782075
"POnto",0.57803269827828,0.38651888865504,0.928660038459834,3.55669082814481,1.73896801586058,0.363647091762324
"PROnto",0.831602408756973,0.814698830708987,1.18566630286355,2.20315917504734,1.20469121059316,0.349087664744752
"RFCOnto",6.20163981323419,1.65192097823679,1.70099334865895,1.07322999708549,1.12137204625323,0.527337364792581
"RROnto",0.552008264074266,0.467099969152902,0.566066287309362,0.324895235180409,0.681915040976741,0.707126435247431
"SxAP",5.18911326912285,7.41997458422541,4,NA,3.74165738677394,NA
"SxC",1.50974979362689,1.36978267977029,1.71896010871466,NA,2.81474630620439,2.73198696663839
"SxDP",NA,NA,NA,NA,NA,NA
"SxOP",NA,NA,NA,NA,NA,2.64243294003726
"SxP",2.46366896293159,2.28642348540279,4,NA,2.82422840415987,2.30944301636994
"SYSNAM",NA,NA,NA,NA,NA,NA
"TMOnto",1.65028539081166,1.61709849175171,1.95794272376524,4,2.52490981537468,2.02292513976457
"TMOnto2",0.763822603995472,0.691317330629661,1.34207393534819,4,1.98781769287859,1.31656117720877
"WMCOnto",1.437830987683,3.644483546697,3.13338000286771,0.254144015123871,1.17172788447033,0.474051158846846
"WMCOnto2",0.80606470929972,2.8459229818161,1.97508807948194,0.0719949837853976,0.155778701156177,0.0732149859861688
