"Metric","Cluster_size_k_2","Cluster_size_k_3"
"APWND","133, 72","129, 22, 54"
"APWNN","96, 109","66, 81, 58"
"APWNS","1, 204","1, 5, 199"
"DxP","111, 94","102, 49, 54"
"NxP","67, 138","40, 64, 101"
"SxAP","1, 204","1, 5, 199"
"SxP","167, 38","166, 38, 1"
