"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"APWND","0.974826658646616, 0.553786551944445","0.980858049612403, 0.365742738181818, 0.647176827777778"
"APWNN","0.907181014583334, 0.460563385779817","0.984212295454545, 0.643814066666667, 0.347997164655172"
"APWNS","0.1496599, 0.995777720098039","0.1496599, 0.85867818, 0.999222432160804"
"DxP","0.0620478871171171, 0.703207610638298","0.0377085193137255, 0.852406842857143, 0.50693752962963"
"NxP","0.193520417014925, 0.76061231884058","0.048242766, 0.9334443375, 0.557031878217822"
"SxAP","1.061224, 0.00545941516176471","1.061224, 0.18179958, 0.00102875775376884"
"SxP","0.00506508303592814, 0.230831928947368","0.00442625160843374, 0.206469457894737, 1.036885"
