"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"APWND","0.995862688021826, 0.992536574708935","0.990101847104204, 0.769196133244121, 0.872626424362875"
"APWNN","0.972323531125925, 0.979324140208584","0.995643939393939, 0.948474484090616, 0.936291136961917"
"APWNS","0.45, 0.985320483139266","0.4, 0.891666666666667, 0.988334593249469"
"DxP","0.993478563878138, 0.992634940008141","0.993024689836147, 0.947329292648397, 0.943285212425986"
"NxP","0.872682579163436, 0.925218374079297","0.994624542124542, 0.939965274543452, 0.959258756765794"
"SxAP","0.45, 0.985320483139266","0.4, 0.916666666666667, 0.988749675885959"
"SxP","0.992976038538518, 0.968278122864507","0.984570975572326, 0.755676837020086, 0.4"
