"Metric","Cluster_tot.withinss_k_2","Cluster_tot.withinss_k_3"
"ANOnto","8.26497560949447","1.01815281539544"
"APWND","0.0604937899979552","0.0227369149755675"
"APWNN","0.0735138987782967","0.0680258362865892"
"APWNS","",""
"AROnto","12784.6203636084","2431.96310967053"
"CBOOnto","627119.171363408","212.481254737575"
"CROnto","0.113084801181334","0.0065494471347956"
"DITOnto","337.433333333333","49.4090909090909"
"DxP","0.227106905813736","0.103801807466456"
"INROnto","0.184583524613937","0.0527986369453371"
"LCOMOnto","50.5663083902312","31.8520028163977"
"NACOnto","0.0327345220944375","0.00892035911792728"
"NLR","9.52380952380953",""
"NLRC","",""
"NOCOnto","617297.213358393","3041.1228731453"
"NOMOnto","57.5100177703055","3.32294083572972"
"NxP","0.35012163830688","0.13138507863121"
"POnto","0.177771561727949","0.0179013837298088"
"PROnto","0.230727151889983","0.0319168012046681"
"RFCOnto","61.8586431722585","5.0645411114622"
"RROnto","0.230727144935899","0.0319167883054967"
"SxAP","",""
"SxP","",""
"TMOnto","0.0175800336043768","0.00619375884935074"
"TMOnto2","0.231789316966","0.00959960896599999"
"WMCOnto","197.480507984571","25.793155565414"
"WMCOnto2","1.30198899092051","0.92938407732588"
