"Metric","Cluster_betweenss_k_2","Cluster_betweenss_k_3"
"ANOnto","14.9159406222982","22.1627634163972"
"APWND","0.279176037321094","0.316932912343482"
"APWNN","0.431600421158154","0.437088483649861"
"APWNS","",""
"AROnto","58429.5662185115","68782.2234724494"
"CBOOnto","159245644.244486","159872550.934595"
"CROnto","205878.495362332","205878.601897686"
"DITOnto","1360.56666666667","1648.59090909091"
"DxP","1.89714762590548","2.02045272425276"
"INROnto","0.180037929816692","0.311822817485292"
"LCOMOnto","175.491977991188","194.206283565022"
"NACOnto","0.142676299770621","0.166490462747132"
"NLR","62.9467787114846",""
"NLRC","",""
"NOCOnto","159055342.608809","159669598.699295"
"NOMOnto","619.889768417578","674.076845352153"
"NxP","1.82860583409818","2.04734239377385"
"POnto","4.83952519458519","4.99939537258333"
"PROnto","2.06954314764767","2.26835349833299"
"RFCOnto","610.19069942242","666.984801483217"
"RROnto","2.06954312242302","2.26835347905342"
"SxAP","",""
"SxP","",""
"TMOnto","0.0682207820141412","0.0796070567691673"
"TMOnto2","18.2432994465441","18.4654891545441"
"WMCOnto","51866.3727887185","52038.0601411377"
"WMCOnto2","268.8935562213","269.266161134895"
