"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"ANOnto","3",0.955357142857143,0.796555192570527,"3",0.955357142857143,0.796555192570527,"3",0.858175917879672
"APWND","2",0.900257936507937,0.74042659577984,"3",0.871230158730159,0.742376738816949,"3",0.759005581363614
"APWNN","2",0.98125,0.792699721113387,"3",0.779166666666667,0.936533360607261,"3",0.754441121736579
"AROnto","2",0.853371212121212,0.830024277808884,"2",0.853371212121212,0.830024277808884,"2",0.780845018082507
"CBOOnto","2",0.795176767676768,0.929176162084502,"2",0.795176767676768,0.929176162084502,"2",0.767018032422713
"CROnto","3",0.85297619047619,0.858188843851975,"2",0.78,0.937334796628889,"2",0.755560570685267
"CWND","2",1,0.873580308024494,"2",1,0.873580308024494,"2",0.936790154012247
"CWNN","2",1,0.971210672386929,"2",1,0.971210672386929,"2",0.985605336193464
"CWNS","2",0.960625,0.785561576492602,"2",0.960625,0.785561576492602,"2",0.857627544709103
"DITOnto","2",0.887083333333333,0.789932004237864,"3",0.864265873015873,0.790566302102908,"3",0.773762674139887
"DxC","2",1,0.83170962117145,"2",1,0.83170962117145,"2",0.915854810585725
"DxP","2",1,0.801674980135747,"2",1,0.801674980135747,"2",0.900837490067874
"INROnto","3",0.633933982683983,0.393979001980893,"2",0.592633477633478,0.515747895524957,"2",0.44914147327029
"LCOMOnto","2",0.929384920634921,0.685543452085834,"2",0.929384920634921,0.685543452085834,"2",0.783259333721752
"LRsxC","2",0.719686771561772,0.92272606338139,"2",0.719686771561772,0.92272606338139,"2",0.691880256576314
"NACOnto","2",0.879728535353535,0.831089697861624,"2",0.879728535353535,0.831089697861624,"2",0.805430929000377
"NOCOnto","2",0.793301767676768,0.928677880821244,"2",0.793301767676768,0.928677880821244,"2",0.765011786067288
"NOMOnto","3",0.828373015873016,0.821571778570029,"2",0.687348484848485,0.861878557758395,"3",0.639879702823558
"NxC","3",0.925,0.879830116500605,"3",0.925,0.879830116500605,"3",0.86942142888153
"NxP","2",0.942380952380952,0.711548337805755,"2",0.942380952380952,0.711548337805755,"2",0.806465276313711
"POnto","2",1,0.932590489822476,"2",1,0.932590489822476,"2",0.966295244911238
"PROnto","2",0.984375,0.816760520172972,"3",0.979166666666667,0.887048026193508,"3",0.923867262823905
"RFCOnto","3",0.805099206349206,0.784333975316319,"2",0.649659090909091,0.85580026875401,"3",0.602818757753788
"RROnto","2",0.984375,0.81676052657945,"3",0.979166666666667,0.887048054100707,"3",0.923867276486805
"SxC","2",0.901289682539683,0.766041768168793,"3",0.799636243386243,0.831800138416348,"3",0.732386890658824
"TMOnto","2",0.925972222222222,0.785523543250731,"2",0.925972222222222,0.785523543250731,"2",0.826672601586988
"TMOnto2","2",1,0.965327265199963,"2",1,0.965327265199963,"2",0.982663632599982
"WMCOnto","2",0.86467803030303,0.92145451034628,"2",0.86467803030303,0.92145451034628,"2",0.830719750661547
"WMCOnto2","2",0.872228535353535,0.930518834534113,"2",0.872228535353535,0.930518834534113,"2",0.841926807759051
