"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"ANOnto","2",1,0.849488058571838,"2",1,0.849488058571838,"2",0.924744029285919
"AROnto","2",0.888789682539682,0.811888972229251,"2",0.888789682539682,0.811888972229251,"2",0.805194112212393
"CBOOnto","2",0.933928571428571,0.701098321009935,"2",0.933928571428571,0.701098321009935,"2",0.794352162400175
"CROnto","2",0.70515873015873,0.907053261435895,"2",0.70515873015873,0.907053261435895,"2",0.6723876280896
"CWND","2",1,0.822084423361109,"3",0.895833333333333,0.824719757484645,"3",0.81732239137333
"CWNN","2",1,0.851382342478719,"3",0.919444444444444,0.860254306284884,"3",0.855200243583745
"DITOnto","2",0.901785714285714,0.962173681705997,"2",0.901785714285714,0.962173681705997,"2",0.884730097554936
"DxC","2",1,0.83245345917897,"2",1,0.83245345917897,"2",0.916226729589485
"DxP","2",0.92514880952381,0.749962584812861,"3",0.90484126984127,0.824301903589502,"3",0.825351825508886
"INROnto","2",1,0.753055956588474,"2",1,0.753055956588474,"2",0.876527978294237
"LCOMOnto","3",0.925,0.822587321268066,"2",0.902480158730159,0.881319917099836,"2",0.848926948703235
"LRClassPCT","2",0.765426587301587,0.899740050088174,"2",0.765426587301587,0.899740050088174,"2",0.727055771649568
"NACOnto","2",0.971428571428571,0.869889464112037,"2",0.971428571428571,0.869889464112037,"2",0.908232025425846
"NLR","2",0.944722222222222,0.944539691496006,"2",0.944722222222222,0.944539691496006,"2",0.91852492927471
"NOCOnto","2",0.92827380952381,0.758818308198827,"3",0.804444444444444,0.774568064425554,"3",0.713770710357834
"NOMOnto","2",0.925119047619048,0.737457105860468,"3",0.871111111111111,0.757270803723803,"3",0.765389061177479
"NxC","2",1,0.850535768361758,"3",0.919444444444444,0.861751636890441,"3",0.855888599737133
"NxP","3",0.926388888888889,0.870881624820963,"3",0.926388888888889,0.870881624820963,"3",0.866581974830266
"POnto","2",0.862202380952381,0.837406852493347,"3",0.803412698412698,0.837573532019269,"3",0.738164954945677
"PROnto","2",1,0.956234275248598,"2",1,0.956234275248598,"2",0.978117137624299
"RFCOnto","2",0.902351190476191,0.736296999349984,"3",0.866111111111111,0.802692916144032,"3",0.780666182296818
"RROnto","2",1,0.956234276817255,"2",1,0.956234276817255,"2",0.978117138408628
"TMOnto","2",0.831081349206349,0.837189578600677,"2",0.831081349206349,0.837189578600677,"2",0.763426996865647
"TMOnto2","2",1,0.993027210884354,"2",1,0.993027210884354,"2",0.996513605442177
"WMCOnto","2",0.908829365079365,0.858816603714195,"2",0.908829365079365,0.858816603714195,"2",0.844673556876277
"WMCOnto2","2",1,0.878609907023726,"2",1,0.878609907023726,"2",0.939304953511863
