"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"APWND","0.566622445204772","0.878929203411022","0.769240976138583","72","133"
"APWNN","0.592615268745267","0.659087177194538","0.623743577092243","109","96"
"APWNS","0","0.989406406808708","0.984580034092568","1","204"
"DxP","0.816860858324199","0.638244778032747","0.734958850775924","111","94"
"NxP","0.552217436195391","0.575485208855405","0.567880619742132","67","138"
"SxAP","0.988989871589463","0","0.984165530752441","204","1"
"SxP","0.948688444789359","0.565575035920043","0.877672300706266","167","38"
