"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.796863646737251","0.746649145678011","0.739671784735102","0.761209380464032","13","20","8"
"APWND","0.641111165382272","0.785463078724342","0.86353860816044","0.825275407063433","6","3","32"
"APWNN","0.925342613576031","0.56745848166093","0.906157154240177","0.834148355300325","5","9","27"
"APWNS","0","0","1","0.951219512195122","1","1","39"
"AROnto","0.708146169822462","0.463873163362457","0.520551609480617","0.648139114052037","30","7","4"
"CBOOnto","0.836941905550082","0.782095114414847","0","0.81251550850238","37","3","1"
"CROnto","0.975870852170124","0","0","0.928267395966704","39","1","1"
"DITOnto","0.75057758051922","0.550710795326043","0","0.639649617124352","21","19","1"
"DxP","0.877843903146604","0.718183305627709","0.542756104923809","0.794912870038023","23","15","3"
"INROnto","0.578974778851698","0.766528115201165","0.633921831117628","0.732058730669078","4","32","5"
"LCOMOnto","0.723039105986373","0.698606366989194","0.535834782399129","0.653156473786539","17","10","14"
"NACOnto","0.833918150571815","0.457050689266006","0","0.758427347683848","34","6","1"
"NLR","0.87283053239575","0.482440194077023","0.296179815209666","0.692789623447267","24","13","4"
"NLRC","0.836363636363636","0.635","0.466666666666667","0.788861788617886","33","6","2"
"NOCOnto","0.907181888611111","0.317383772065797","0","0.841899541336793","37","3","1"
"NOMOnto","0.9669962331445","0","0","0.919825685186232","39","1","1"
"NxP","0.89934049672328","0.637517139511088","0.580200677313962","0.683997068096038","11","13","17"
"POnto","0.884457326360718","0.440556243109091","0.708330033617137","0.7186325695902","10","5","26"
"PROnto","0.811176524900701","0.513315199843549","0.643820807409736","0.670034809339892","15","11","15"
"RFCOnto","0.966122891325249","0","0","0.918994945406944","39","1","1"
"RROnto","0.643820812303052","0.513315211241267","0.811176544296927","0.670034821284235","15","11","15"
"SxAP","1","0","0","0.951219512195122","39","1","1"
"SxP","0.983053899615477","0.521800146002818","0","0.902826517476971","35","5","1"
"TMOnto","0.76103449547074","0.382435759996997","0.549678735346886","0.685009728316158","31","6","4"
"TMOnto2","1","0.861348048676412","0.526166711806654","0.882755509010519","16","21","4"
"WMCOnto","0.791551464078248","0.769898136210097","0","0.769604681068028","35","5","1"
"WMCOnto2","0.994464927507179","0.763627193038091","0.179561646803002","0.717905565818525","2","35","4"
