"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.841134580204054","0.667420158931843","0.722500341286447","13","28"
"APWND","0.732491275489645","0.929036776570086","0.900274020314412","6","35"
"APWNN","0.576089847733726","0.880226124469652","0.791210628839625","12","29"
"APWNS","0","0.985034718655865","0.961009481615478","1","40"
"AROnto","0.890040616228986","0.607710589759155","0.862496223402661","37","4"
"CBOOnto","0.934749341038355","0","0.911950576622786","40","1"
"CROnto","0.963973213723567","0","0.940461671925432","40","1"
"DITOnto","0.684594831094831","0.486338302133891","0.607226429549098","25","16"
"DxP","0.899705820740081","0.583393350977527","0.760836931576033","23","18"
"INROnto","0.499562481016305","0.55644256667071","0.549505970859197","5","36"
"LCOMOnto","0.712311396690591","0.550576678748339","0.63736116154662","22","19"
"NACOnto","0.858746693800371","0.36999171388274","0.799142427956758","36","5"
"NLR","0.813440440332173","0.447946774236978","0.71538116406273","30","11"
"NLRC","0.872159090909091","0.544162515888888","0.808159759197832","33","8"
"NOCOnto","0.924986359518079","0.291139856343723","0.894067017899818","39","2"
"NOMOnto","0.999797998514522","0","0.975412681477582","40","1"
"NxP","0.932357701864895","0.618212093474101","0.702495061578948","11","30"
"POnto","0.716638518472866","0.794624127084504","0.767994894875652","14","27"
"PROnto","0.725169045745875","0.670413390289635","0.701129977496794","23","18"
"RFCOnto","0.999793941520152","0","0.975408723434295","40","1"
"RROnto","0.670413396825337","0.725169042743912","0.701129978682099","18","23"
"SxAP","0.986977561118224","0","0.962904937676316","40","1"
"SxP","0.985706455859068","0.459389214232855","0.908684420499134","35","6"
"TMOnto","0.863125294703751","0.546686328938843","0.824535176927543","36","5"
"TMOnto2","1","0.933995736269355","0.959753497725216","16","25"
"WMCOnto","0.858830741313442","0.285149570627857","0.774877399261893","35","6"
"WMCOnto2","0.902275002688883","0.196490621385261","0.833417989878774","37","4"
