"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.927304203316782","0.660118184521855","0.955171180023395","0.804848074084653","7","8","2"
"APWND","0.592223659754505","0.275339210451917","1","0.757531048298305","3","4","10"
"APWNN","0","0.741756711603883","0.76787757509931","0.718098741829569","1","3","13"
"AROnto","0.919235862853363","0.101247791973449","0","0.768929274346705","14","2","1"
"CBOOnto","0.995576606720959","0","0","0.878449947106729","15","1","1"
"CROnto","0.999062029179299","0.685557434875032","0","0.866527887626571","12","4","1"
"DITOnto","0.794972451790634","0.820958557418538","0.752415458937198","0.796080124543854","11","4","2"
"DxP","0.955683691712389","0.286544763617964","0.668051763538934","0.769922250713736","10","3","4"
"INROnto","0.449706335518089","0.685154118510497","0","0.575601587129759","5","11","1"
"LCOMOnto","0.890928295248129","0.469043814370117","0.386290120057945","0.643238365867955","8","4","5"
"NACOnto","0.918619354668739","0.291126541865063","0","0.680026212393026","11","5","1"
"NLR","1","1","0.5","0.911764705882353","12","2","3"
"NOCOnto","0.984365206256085","0","0","0.86855753493184","15","1","1"
"NOMOnto","0.946537186340542","0.694594024684557","0","0.831577784401455","12","4","1"
"NxP","0.7917908347882","0.615127156921662","0.529741354339922","0.698956190353334","10","3","4"
"POnto","1","0.861775812281744","0","0.876129794014939","8","8","1"
"PROnto","0.967067277237338","0.775904714068879","0.832552144911695","0.893769433053009","9","3","5"
"RFCOnto","0.909765409875005","0.650183405653357","0","0.795171678889029","12","4","1"
"RROnto","0.832552169820584","0.775904717439282","0.96706731174292","0.893769459241591","5","3","9"
"TMOnto","0.811923289205518","0.228533947253019","0","0.695529055493135","14","2","1"
"TMOnto2","1","0.894471332181463","0","0.910138627112195","11","5","1"
"WMCOnto","0.852478075201807","0.611914066197494","0","0.717427361717825","10","6","1"
"WMCOnto2","0.549265757445819","0.618648244840955","0","0.537362620947576","11","5","1"
