ontologyAcronym,metricAcronym,result
BOHLMANN,RFCOnto,1.357539E0
BOHLMANN,RROnto,7.366135E-1
BOHLMANN,SYSNAM,NaN
BOHLMANN,SxAP,0.0E0
BOHLMANN,SxC,1.091684E0
BOHLMANN,SxC,0.0E0
BOHLMANN,SxDP,NaN
BOHLMANN,SxOP,0.0E0
BOHLMANN,TMOnto,0.0E0
BOHLMANN,TMOnto2,0.0E0
BOHLMANN,WMCOnto,2.715045E0
BOHLMANN,WMCOnto2,1.0E0
CHEBI,ANOnto,9.999757E-1
CHEBI,APWND,9.189189E-1
CHEBI,APWNN,5.945946E-1
CHEBI,APWNS,1.0E0
CHEBI,AROnto,1.199993E1
CHEBI,CBOOnto,1.42395E0
CHEBI,CROnto,6.075777E-6
CHEBI,CWND,6.798121E-1
CHEBI,CWNN,0.0E0
CHEBI,CWNS,3.002814E-1
CHEBI,DITOnto,3.1E1
CHEBI,DPWND,NaN
CHEBI,DPWNN,NaN
CHEBI,DPWNS,NaN
CHEBI,DxAP,8.108108E-2
CHEBI,DxAP,4.054054E-1
CHEBI,DxC,3.201879E-1
CHEBI,DxDP,NaN
CHEBI,DxOP,0.0E0
CHEBI,DxP,5.319149E-1
CHEBI,DxP,6.382979E-2
CHEBI,INROnto,1.423336E0
CHEBI,LCOMOnto,1.331727E1
CHEBI,LRClassPCT,0.0E0
CHEBI,LRsxC,0.0E0
CHEBI,LSLD,NaN
CHEBI,NACOnto,1.418112E0
CHEBI,NLR,0.0E0
CHEBI,NLRC,0.0E0
CHEBI,NOCOnto,1.811086E1
CHEBI,NOMOnto,5.457871E-1
CHEBI,NxC,1.0E0
CHEBI,NxDP,NaN
CHEBI,NxOP,1.0E0
CHEBI,OPWND,1.0E0
CHEBI,OPWNN,0.0E0
CHEBI,OPWNS,1.0E0
CHEBI,POnto,1.445926E0
CHEBI,PROnto,2.771727E-1
CHEBI,RFCOnto,1.969123E0
CHEBI,RROnto,7.228273E-1
CHEBI,SYSNAM,NaN
CHEBI,SxAP,0.0E0
CHEBI,SxC,2.099387E0
CHEBI,SxC,0.0E0
CHEBI,SxDP,NaN
CHEBI,SxOP,0.0E0
CHEBI,TMOnto,2.793234E-1
CHEBI,TMOnto2,2.598025E0
CHEBI,WMCOnto,2.38583E2
CHEBI,WMCOnto2,1.791531E1
ENVO,APWND,7.5E-1
ENVO,APWNN,7.037037E-1
ENVO,APWNS,9.907407E-1
ENVO,CWND,2.362972E-1
ENVO,CWNN,1.065773E-3
ENVO,CWNS,6.126675E-1
ENVO,DPWND,1.0E0
ENVO,DPWNN,1.0E0
ENVO,DPWNS,1.0E0
ENVO,DxAP,2.962963E-1
ENVO,DxAP,2.5E-1
ENVO,DxC,9.264728E-1
ENVO,DxDP,0.0E0
ENVO,DxOP,9.950739E-1
ENVO,DxP,8.044872E-1
ENVO,DxP,7.339744E-1
ENVO,LRClassPCT,0.0E0
ENVO,LRsxC,0.0E0
ENVO,LSLD,NaN
ENVO,NLR,0.0E0
ENVO,NLRC,0.0E0
ENVO,NxC,9.992388E-1
ENVO,NxDP,0.0E0
ENVO,NxOP,1.078818E0
ENVO,OPWND,1.256039E-1
ENVO,OPWNN,4.830918E-3
ENVO,OPWNS,6.956522E-1
ENVO,SYSNAM,NaN
ENVO,SxAP,9.259259E-3
ENVO,SxC,1.031207E0
ENVO,SxC,2.788462E-1
ENVO,SxDP,0.0E0
ENVO,SxOP,4.236453E-1
ETS,ANOnto,1.714286E0
ETS,APWND,8.888889E-1
ETS,APWNN,8.333333E-1
ETS,APWNS,1.0E0
ETS,AROnto,1.105714E2
ETS,CBOOnto,6.0E0
ETS,CROnto,1.428571E-1
ETS,CWND,0.0E0
ETS,CWNN,0.0E0
ETS,CWNS,1.0E0
ETS,DITOnto,2.0E0
ETS,DPWND,2.325581E-1
ETS,DPWNN,2.015504E-1
ETS,DPWNS,1.0E0
ETS,DxAP,1.111111E-1
ETS,DxAP,1.666667E-1
ETS,DxC,1.0E0
ETS,DxDP,7.674419E-1
ETS,DxOP,NaN
ETS,DxP,7.210884E-1
ETS,DxP,6.870748E-1
ETS,INROnto,8.571429E-1
ETS,LCOMOnto,1.0E0
ETS,LRClassPCT,0.0E0
ETS,LRsxC,0.0E0
ETS,LSLD,NaN
ETS,NACOnto,1.0E0
ETS,NLR,0.0E0
ETS,NLRC,0.0E0
ETS,NOCOnto,6.0E0
ETS,NOMOnto,2.685714E1
ETS,NxC,1.0E0
ETS,NxDP,7.984496E-1
ETS,NxOP,NaN
ETS,OPWND,NaN
ETS,OPWNN,NaN
ETS,OPWNS,NaN
ETS,POnto,0.0E0
ETS,PROnto,9.690722E-1
ETS,RFCOnto,2.771429E1
ETS,RROnto,3.092784E-2
ETS,SYSNAM,NaN
ETS,SxAP,0.0E0
ETS,SxC,0.0E0
ETS,SxC,0.0E0
ETS,SxDP,0.0E0
ETS,SxOP,NaN
ETS,TMOnto,0.0E0
ETS,TMOnto2,0.0E0
ETS,WMCOnto,1.0E0
ETS,WMCOnto2,1.0E0
GEONAMES,APWND,8.0E-1
GEONAMES,APWNN,8.0E-1
GEONAMES,APWNS,1.0E0
GEONAMES,CWND,3.571429E-1
GEONAMES,CWNN,3.571429E-1
GEONAMES,CWNS,1.0E0
GEONAMES,DPWND,6.0E-1
GEONAMES,DPWNN,2.0E-1
GEONAMES,DPWNS,1.0E0
GEONAMES,DxAP,2.0E-1
GEONAMES,DxAP,4.0E-1
GEONAMES,DxC,6.428571E-1
GEONAMES,DxDP,5.333333E-1
GEONAMES,DxOP,7.058824E-1
GEONAMES,DxP,5.964912E-1
GEONAMES,DxP,5.263158E-1
GEONAMES,LRClassPCT,7.142857E-2
GEONAMES,LRsxC,7.142857E-2
GEONAMES,LSLD,1.0E0
GEONAMES,NLR,1.0E0
GEONAMES,NLRC,1.0E0
GEONAMES,NxC,6.428571E-1
GEONAMES,NxDP,8.0E-1
GEONAMES,NxOP,1.0E0
GEONAMES,OPWND,2.941176E-1
GEONAMES,OPWNN,0.0E0
GEONAMES,OPWNS,1.0E0
GEONAMES,SYSNAM,1.0E0
GEONAMES,SxAP,0.0E0
GEONAMES,SxC,0.0E0
GEONAMES,SxC,0.0E0
GEONAMES,SxDP,0.0E0
GEONAMES,SxOP,0.0E0
I-ADOPT,ANOnto,1.6E0
I-ADOPT,APWND,1.0E0
I-ADOPT,APWNN,1.0E0
I-ADOPT,APWNS,1.0E0
I-ADOPT,AROnto,1.2E0
I-ADOPT,CBOOnto,4.0E0
I-ADOPT,CROnto,0.0E0
I-ADOPT,CWND,0.0E0
I-ADOPT,CWNN,0.0E0
I-ADOPT,CWNS,1.0E0
I-ADOPT,DITOnto,2.0E0
I-ADOPT,DPWND,NaN
I-ADOPT,DPWNN,NaN
I-ADOPT,DPWNS,NaN
I-ADOPT,DxAP,0.0E0
I-ADOPT,DxAP,0.0E0
I-ADOPT,DxC,1.0E0
I-ADOPT,DxDP,NaN
I-ADOPT,DxOP,1.0E0
