ontologyAcronym,metricAcronym,result
BCO,NOCOnto,3.306122E0
BCO,NOMOnto,2.719745E0
BCO,NxC,9.652174E-1
BCO,NxDP,9.811321E-1
BCO,NxOP,1.042553E0
BCO,NxP,9.359431E-1
BCO,OPWND,2.244898E-1
BCO,OPWNN,0.0E0
BCO,OPWNS,4.897959E-1
BCO,POnto,1.038217E0
BCO,PROnto,7.249576E-1
BCO,RFCOnto,3.751592E0
BCO,RROnto,2.750424E-1
BCO,SxAP,0.0E0
BCO,SxC,3.043478E-1
BCO,SxDP,0.0E0
BCO,SxOP,8.510638E-1
BCO,SxP,1.423488E-1
BCO,TMOnto,5.769231E-2
BCO,TMOnto2,2.0E0
BCO,WMCOnto,6.453704E0
BCO,WMCOnto2,1.268519E0
BFO,ANOnto,9.722222E-1
BFO,APWND,9.166667E-1
BFO,APWNN,3.75E-1
BFO,APWNS,1.0E0
BFO,AROnto,0.0E0
BFO,CBOOnto,1.0E0
BFO,CROnto,0.0E0
BFO,CWND,7.714286E-1
BFO,CWNN,0.0E0
BFO,CWNS,9.714286E-1
BFO,DITOnto,7.0E0
BFO,DPWND,NaN
BFO,DPWNN,NaN
BFO,DPWNS,NaN
BFO,DxC,2.285714E-1
BFO,DxDP,NaN
BFO,DxOP,NaN
BFO,DxP,8.333333E-2
BFO,INROnto,9.722222E-1
BFO,LCOMOnto,4.904762E0
BFO,LRClassPCT,1.142857E-1
BFO,LRsxC,2.857143E-1
BFO,LSLD,1.0E0
BFO,NACOnto,1.0E0
BFO,NLR,1.0E1
BFO,NLRC,4.0E0
BFO,NOCOnto,2.333333E0
BFO,NOMOnto,0.0E0
BFO,NxC,1.0E0
BFO,NxDP,NaN
BFO,NxOP,NaN
BFO,NxP,6.25E-1
BFO,OPWND,NaN
BFO,OPWNN,NaN
BFO,OPWNS,NaN
BFO,POnto,9.722222E-1
BFO,PROnto,0.0E0
BFO,RFCOnto,9.722222E-1
BFO,RROnto,1.0E0
BFO,SYSNAM,2.615385E-1
BFO,SxAP,0.0E0
BFO,SxC,2.857143E-2
BFO,SxDP,NaN
BFO,SxOP,NaN
BFO,SxP,0.0E0
BFO,TMOnto,0.0E0
BFO,TMOnto2,0.0E0
BFO,WMCOnto,4.904762E0
BFO,WMCOnto2,1.0E0
BIOREFINERY,ANOnto,0.0E0
BIOREFINERY,APWND,1.0E0
BIOREFINERY,APWNN,1.0E0
BIOREFINERY,APWNS,1.0E0
BIOREFINERY,AROnto,4.992401E0
BIOREFINERY,CBOOnto,1.049612E0
BIOREFINERY,CROnto,1.133739E0
BIOREFINERY,CWND,1.0E0
BIOREFINERY,CWNN,1.978691E-2
BIOREFINERY,CWNS,9.223744E-1
BIOREFINERY,DITOnto,1.0E1
BIOREFINERY,DPWND,1.0E0
BIOREFINERY,DPWNN,1.0E0
BIOREFINERY,DPWNS,1.0E0
BIOREFINERY,DxC,0.0E0
BIOREFINERY,DxDP,0.0E0
BIOREFINERY,DxOP,0.0E0
BIOREFINERY,DxP,0.0E0
BIOREFINERY,INROnto,1.028875E0
BIOREFINERY,LCOMOnto,5.281588E0
BIOREFINERY,LRClassPCT,0.0E0
BIOREFINERY,LRsxC,0.0E0
BIOREFINERY,LSLD,NaN
BIOREFINERY,NACOnto,1.037453E0
BIOREFINERY,NLR,0.0E0
BIOREFINERY,NLRC,0.0E0
BIOREFINERY,NOCOnto,5.459677E0
BIOREFINERY,NOMOnto,2.113982E0
BIOREFINERY,NxC,1.917808E0
BIOREFINERY,NxDP,0.0E0
BIOREFINERY,NxOP,0.0E0
BIOREFINERY,NxP,0.0E0
BIOREFINERY,OPWND,1.0E0
BIOREFINERY,OPWNN,1.0E0
BIOREFINERY,OPWNS,1.0E0
BIOREFINERY,POnto,1.012158E0
BIOREFINERY,PROnto,6.726306E-1
BIOREFINERY,RFCOnto,3.142857E0
BIOREFINERY,RROnto,3.273694E-1
BIOREFINERY,SYSNAM,NaN
BIOREFINERY,SxAP,0.0E0
BIOREFINERY,SxC,1.065449E-1
BIOREFINERY,SxDP,0.0E0
BIOREFINERY,SxOP,0.0E0
BIOREFINERY,SxP,0.0E0
BIOREFINERY,TMOnto,2.130898E-2
BIOREFINERY,TMOnto2,2.571429E0
BIOREFINERY,WMCOnto,5.479401E0
BIOREFINERY,WMCOnto2,1.037453E0
BIPON,ANOnto,1.035489E0
BIPON,APWND,1.0E0
BIPON,APWNN,9.69697E-1
BIPON,APWNS,1.0E0
BIPON,AROnto,1.983114E1
BIPON,CBOOnto,1.535817E0
BIPON,CROnto,4.390384E-1
BIPON,CWND,8.316151E-1
BIPON,CWNN,0.0E0
BIPON,CWNS,7.703322E-1
BIPON,DITOnto,1.7E1
BIPON,DPWND,NaN
BIPON,DPWNN,NaN
BIPON,DPWNS,NaN
BIPON,DxC,1.838488E-1
BIPON,DxDP,NaN
BIPON,DxOP,0.0E0
BIPON,DxP,0.0E0
BIPON,INROnto,1.534058E0
BIPON,LCOMOnto,7.625676E0
BIPON,LRClassPCT,0.0E0
BIPON,LRsxC,5.727377E-4
BIPON,LSLD,NaN
BIPON,NACOnto,1.772482E0
BIPON,NLR,1.0E0
BIPON,NLRC,0.0E0
BIPON,NOCOnto,4.220472E0
BIPON,NOMOnto,8.15684E-1
BIPON,NxC,1.002864E0
BIPON,NxDP,NaN
BIPON,NxOP,9.333333E-1
BIPON,NxP,4.603175E-1
BIPON,OPWND,1.0E0
BIPON,OPWNN,6.666667E-2
BIPON,OPWNS,9.333333E-1
BIPON,POnto,1.077275E0
BIPON,PROnto,3.471376E-1
BIPON,RFCOnto,2.349742E0
BIPON,RROnto,6.528624E-1
BIPON,SYSNAM,NaN
BIPON,SxAP,0.0E0
BIPON,SxC,7.033219E-1
BIPON,SxDP,NaN
BIPON,SxOP,6.666667E-2
BIPON,SxP,3.174603E-2
BIPON,TMOnto,7.731959E-2
BIPON,TMOnto2,2.022222E0
BIPON,WMCOnto,2.409083E1
BIPON,WMCOnto2,3.159173E0
BOHLMANN,ANOnto,1.210148E-1
BOHLMANN,APWND,1.0E0
BOHLMANN,APWNN,8.214286E-1
BOHLMANN,APWNS,1.0E0
BOHLMANN,AROnto,9.999814E-1
BOHLMANN,CBOOnto,1.000037E0
BOHLMANN,CROnto,0.0E0
BOHLMANN,CWND,9.998884E-1
BOHLMANN,CWNN,8.760626E-1
BOHLMANN,CWNS,6.423616E-1
BOHLMANN,DITOnto,5.0E0
BOHLMANN,DPWND,NaN
BOHLMANN,DPWNN,NaN
BOHLMANN,DPWNS,NaN
BOHLMANN,DxC,1.116051E-4
BOHLMANN,DxDP,NaN
BOHLMANN,DxOP,0.0E0
BOHLMANN,DxP,0.0E0
BOHLMANN,INROnto,9.999814E-1
BOHLMANN,LCOMOnto,2.715045E0
BOHLMANN,LRClassPCT,0.0E0
BOHLMANN,LRsxC,0.0E0
BOHLMANN,LSLD,NaN
BOHLMANN,NACOnto,1.0E0
BOHLMANN,NLR,0.0E0
BOHLMANN,NLRC,0.0E0
BOHLMANN,NOCOnto,6.109205E1
BOHLMANN,NOMOnto,3.575574E-1
BOHLMANN,NxC,1.239374E-1
BOHLMANN,NxDP,NaN
BOHLMANN,NxOP,0.0E0
BOHLMANN,NxP,1.724138E-1
BOHLMANN,OPWND,1.0E0
BOHLMANN,OPWNN,1.0E0
BOHLMANN,OPWNS,1.0E0
BOHLMANN,POnto,9.999256E-1
BOHLMANN,PROnto,2.633865E-1
BOHLMANN,RFCOnto,1.357539E0
BOHLMANN,RROnto,7.366135E-1
BOHLMANN,SYSNAM,NaN
BOHLMANN,SxAP,0.0E0
BOHLMANN,SxC,1.091684E0
BOHLMANN,SxDP,NaN
BOHLMANN,SxOP,0.0E0
BOHLMANN,SxP,0.0E0
BOHLMANN,TMOnto,0.0E0
BOHLMANN,TMOnto2,0.0E0
BOHLMANN,WMCOnto,2.715045E0
BOHLMANN,WMCOnto2,1.0E0
