ontologyAcronym,metricAcronym,result
ADO,SxOP,0.0E0
ADO,TMOnto,1.324503E-1
ADO,TMOnto2,2.465385E0
ADO,WMCOnto,2.667323E1
ADO,WMCOnto2,2.029212E0
ADW,APWND,1.0E0
ADW,APWNN,1.0E0
ADW,APWNS,1.0E0
ADW,CWND,4.889503E-1
ADW,CWNN,5.552486E-1
ADW,CWNS,1.0E0
ADW,DPWND,9.666667E-1
ADW,DPWNN,8.5E-1
ADW,DPWNS,1.0E0
ADW,DxAP,0.0E0
ADW,DxAP,0.0E0
ADW,DxC,5.110497E-1
ADW,DxDP,3.333333E-2
ADW,DxOP,6.666667E-2
ADW,DxP,1.392405E-1
ADW,DxP,3.797468E-2
ADW,LRClassPCT,0.0E0
ADW,LRsxC,0.0E0
ADW,LSLD,NaN
ADW,NLR,0.0E0
ADW,NLRC,0.0E0
ADW,NxC,4.447514E-1
ADW,NxDP,1.5E-1
ADW,NxOP,1.333333E-1
ADW,OPWND,9.333333E-1
ADW,OPWNN,8.666667E-1
ADW,OPWNS,1.0E0
ADW,SYSNAM,NaN
ADW,SxAP,0.0E0
ADW,SxC,0.0E0
ADW,SxC,0.0E0
ADW,SxDP,0.0E0
ADW,SxOP,0.0E0
AEO,ANOnto,9.920319E-1
AEO,APWND,1.0E0
AEO,APWNN,6.0E-1
AEO,APWNS,1.0E0
AEO,AROnto,1.095618E1
AEO,CBOOnto,1.080645E0
AEO,CROnto,0.0E0
AEO,CWND,6.024096E-2
AEO,CWNN,0.0E0
AEO,CWNS,8.514056E-1
AEO,DITOnto,1.3E1
AEO,DPWND,NaN
AEO,DPWNN,NaN
AEO,DPWNS,NaN
AEO,DxAP,0.0E0
AEO,DxAP,4.0E-1
AEO,DxC,9.437751E-1
AEO,DxDP,NaN
AEO,DxOP,0.0E0
AEO,DxP,6.538462E-1
AEO,DxP,0.0E0
AEO,INROnto,1.067729E0
AEO,LCOMOnto,6.203209E0
AEO,LRClassPCT,4.016064E-3
AEO,LRsxC,8.032129E-3
AEO,LSLD,4.677419E-1
AEO,NACOnto,1.089172E0
AEO,NLR,2.0E0
AEO,NLRC,1.0E0
AEO,NOCOnto,2.851064E0
AEO,NOMOnto,4.462151E-1
AEO,NxC,1.0E0
AEO,NxDP,NaN
AEO,NxOP,1.0E0
AEO,OPWND,1.0E0
AEO,OPWNN,0.0E0
AEO,OPWNS,1.0E0
AEO,POnto,1.055777E0
AEO,PROnto,2.947368E-1
AEO,RFCOnto,1.513944E0
AEO,RROnto,7.052632E-1
AEO,SYSNAM,7.777778E-1
AEO,SxAP,0.0E0
AEO,SxC,2.811245E-1
AEO,SxC,0.0E0
AEO,SxDP,NaN
AEO,SxOP,0.0E0
AEO,TMOnto,6.8E-2
AEO,TMOnto2,2.058824E0
AEO,WMCOnto,7.388535E0
AEO,WMCOnto2,1.191083E0
AFPO,ANOnto,9.978903E-1
AFPO,APWND,9.354839E-1
AFPO,APWNN,3.870968E-1
AFPO,APWNS,1.0E0
AFPO,AROnto,1.949367E0
AFPO,CBOOnto,1.067941E0
AFPO,CROnto,4.008439E-2
AFPO,CWND,3.150106E-1
AFPO,CWNN,2.114165E-3
AFPO,CWNS,9.936575E-1
AFPO,DITOnto,7.0E0
AFPO,DPWND,NaN
AFPO,DPWNN,NaN
AFPO,DPWNS,NaN
AFPO,DxAP,8.064516E-2
AFPO,DxAP,6.129032E-1
AFPO,DxC,7.019027E-1
AFPO,DxDP,NaN
AFPO,DxOP,3.333333E-1
AFPO,DxP,6.307692E-1
AFPO,DxP,9.230769E-2
AFPO,INROnto,1.061181E0
AFPO,LCOMOnto,3.956322E0
AFPO,LRClassPCT,0.0E0
AFPO,LRsxC,0.0E0
AFPO,LSLD,NaN
AFPO,NACOnto,1.0525E0
AFPO,NLR,0.0E0
AFPO,NLRC,0.0E0
AFPO,NOCOnto,6.797297E0
AFPO,NOMOnto,2.654008E0
AFPO,NxC,9.978858E-1
AFPO,NxDP,NaN
AFPO,NxOP,1.0E0
AFPO,OPWND,6.666667E-1
AFPO,OPWNN,0.0E0
AFPO,OPWNS,1.0E0
AFPO,POnto,1.054852E0
AFPO,PROnto,7.143668E-1
AFPO,RFCOnto,3.71519E0
AFPO,RROnto,2.856332E-1
AFPO,SYSNAM,NaN
AFPO,SxAP,0.0E0
AFPO,SxC,4.22833E-2
AFPO,SxC,0.0E0
AFPO,SxDP,NaN
AFPO,SxOP,0.0E0
AFPO,TMOnto,4.862579E-2
AFPO,TMOnto2,2.304348E0
AFPO,WMCOnto,4.3025E0
AFPO,WMCOnto2,1.0875E0
AGRO,APWND,6.117647E-1
AGRO,APWNN,5.411765E-1
AGRO,APWNS,1.0E0
AGRO,CWND,3.092057E-1
AGRO,CWNN,0.0E0
AGRO,CWNS,5.720185E-1
AGRO,DPWND,1.0E0
AGRO,DPWNN,3.333333E-1
AGRO,DPWNS,1.0E0
AGRO,DxAP,4.588235E-1
AGRO,DxAP,4.470588E-1
AGRO,DxC,7.331229E-1
AGRO,DxDP,0.0E0
AGRO,DxOP,6.733668E-1
AGRO,DxP,6.724138E-1
AGRO,DxP,5.931034E-1
AGRO,LRClassPCT,0.0E0
AGRO,LRsxC,0.0E0
AGRO,LSLD,NaN
AGRO,NLR,0.0E0
AGRO,NLRC,0.0E0
AGRO,NxC,1.004614E0
AGRO,NxDP,6.666667E-1
AGRO,NxOP,7.638191E-1
AGRO,OPWND,3.940887E-1
AGRO,OPWNN,2.857143E-1
AGRO,OPWNS,8.472906E-1
AGRO,SYSNAM,NaN
AGRO,SxAP,0.0E0
AGRO,SxC,1.300631E0
AGRO,SxC,1.551724E-1
AGRO,SxDP,0.0E0
AGRO,SxOP,2.261307E-1
AI-RHEUM,ANOnto,0.0E0
AI-RHEUM,APWND,6.25E-1
AI-RHEUM,APWNN,6.25E-1
AI-RHEUM,APWNS,1.0E0
AI-RHEUM,AROnto,3.002457E0
AI-RHEUM,CBOOnto,1.787572E0
AI-RHEUM,CROnto,9.92629E-1
AI-RHEUM,CWND,8.019802E-1
AI-RHEUM,CWNN,0.0E0
AI-RHEUM,CWNS,9.950495E-1
AI-RHEUM,DITOnto,9.0E0
AI-RHEUM,DPWND,0.0E0
AI-RHEUM,DPWNN,0.0E0
AI-RHEUM,DPWNS,1.0E0
AI-RHEUM,DxAP,1.0E0
AI-RHEUM,DxAP,3.75E-1
AI-RHEUM,DxC,1.980198E-1
AI-RHEUM,DxDP,1.0E0
AI-RHEUM,DxOP,1.0E0
AI-RHEUM,DxP,5.0E-1
AI-RHEUM,DxP,1.0E0
AI-RHEUM,INROnto,1.519656E0
AI-RHEUM,LCOMOnto,3.088584E0
AI-RHEUM,LRClassPCT,0.0E0
AI-RHEUM,LRsxC,0.0E0
AI-RHEUM,LSLD,NaN
AI-RHEUM,NACOnto,1.58529E0
AI-RHEUM,NLR,0.0E0
AI-RHEUM,NLRC,0.0E0
AI-RHEUM,NOCOnto,7.068571E0
AI-RHEUM,NOMOnto,1.832924E0
AI-RHEUM,NxC,1.0E0
AI-RHEUM,NxDP,1.0E0
AI-RHEUM,NxOP,1.0E0
AI-RHEUM,OPWND,0.0E0
AI-RHEUM,OPWNN,0.0E0
AI-RHEUM,OPWNS,1.0E0
AI-RHEUM,POnto,1.625307E0
AI-RHEUM,PROnto,5.467204E-1
AI-RHEUM,RFCOnto,3.35258E0
AI-RHEUM,RROnto,4.532796E-1
AI-RHEUM,SYSNAM,NaN
AI-RHEUM,SxAP,0.0E0
AI-RHEUM,SxC,4.950495E-3
AI-RHEUM,SxC,0.0E0
AI-RHEUM,SxDP,0.0E0
AI-RHEUM,SxOP,0.0E0
AI-RHEUM,TMOnto,5.067651E-1
AI-RHEUM,TMOnto2,2.38835E0
AI-RHEUM,WMCOnto,1.058529E1
AI-RHEUM,WMCOnto2,3.42723E0
AMPHX,ANOnto,9.975248E-1
AMPHX,APWND,1.0E0
AMPHX,APWNN,8.0E-1
AMPHX,APWNS,1.0E0
