ontologyAcronym,metricAcronym,result
FMT_INT,NOCOnto,6.0E0
FMT_INT,NOMOnto,0.0E0
FMT_INT,NxC,0.0E0
FMT_INT,NxDP,NaN
FMT_INT,NxOP,NaN
FMT_INT,NxP,0.0E0
FMT_INT,OPWND,NaN
FMT_INT,OPWNN,NaN
FMT_INT,OPWNS,NaN
FMT_INT,POnto,0.0E0
FMT_INT,PROnto,0.0E0
FMT_INT,RFCOnto,8.571429E-1
FMT_INT,RROnto,1.0E0
FMT_INT,SYSNAM,NaN
FMT_INT,SxAP,0.0E0
FMT_INT,SxC,0.0E0
FMT_INT,SxDP,NaN
FMT_INT,SxOP,NaN
FMT_INT,SxP,0.0E0
FMT_INT,TMOnto,0.0E0
FMT_INT,TMOnto2,0.0E0
FMT_INT,WMCOnto,1.0E0
FMT_INT,WMCOnto2,1.0E0
FMT_PTF,ANOnto,0.0E0
FMT_PTF,APWND,1.0E0
FMT_PTF,APWNN,1.0E0
FMT_PTF,APWNS,1.0E0
FMT_PTF,AROnto,0.0E0
FMT_PTF,CBOOnto,4.0E0
FMT_PTF,CROnto,5.6E0
FMT_PTF,CWND,1.0E0
FMT_PTF,CWNN,1.0E0
FMT_PTF,CWNS,1.0E0
FMT_PTF,DITOnto,2.0E0
FMT_PTF,DPWND,NaN
FMT_PTF,DPWNN,NaN
FMT_PTF,DPWNS,NaN
FMT_PTF,DxC,0.0E0
FMT_PTF,DxDP,NaN
FMT_PTF,DxOP,NaN
FMT_PTF,DxP,0.0E0
FMT_PTF,INROnto,8.0E-1
FMT_PTF,LCOMOnto,1.0E0
FMT_PTF,LRClassPCT,0.0E0
FMT_PTF,LRsxC,0.0E0
FMT_PTF,LSLD,NaN
FMT_PTF,NACOnto,1.0E0
FMT_PTF,NLR,0.0E0
FMT_PTF,NLRC,0.0E0
FMT_PTF,NOCOnto,4.0E0
FMT_PTF,NOMOnto,0.0E0
FMT_PTF,NxC,0.0E0
FMT_PTF,NxDP,NaN
FMT_PTF,NxOP,NaN
FMT_PTF,NxP,0.0E0
FMT_PTF,OPWND,NaN
FMT_PTF,OPWNN,NaN
FMT_PTF,OPWNS,NaN
FMT_PTF,POnto,0.0E0
FMT_PTF,PROnto,0.0E0
FMT_PTF,RFCOnto,8.0E-1
FMT_PTF,RROnto,1.0E0
FMT_PTF,SYSNAM,NaN
FMT_PTF,SxAP,0.0E0
FMT_PTF,SxC,0.0E0
FMT_PTF,SxDP,NaN
FMT_PTF,SxOP,NaN
FMT_PTF,SxP,0.0E0
FMT_PTF,TMOnto,0.0E0
FMT_PTF,TMOnto2,0.0E0
FMT_PTF,WMCOnto,1.0E0
FMT_PTF,WMCOnto2,1.0E0
FMT_VAR,ANOnto,0.0E0
FMT_VAR,APWND,1.0E0
FMT_VAR,APWNN,1.0E0
FMT_VAR,APWNS,1.0E0
FMT_VAR,AROnto,6.272727E0
FMT_VAR,CBOOnto,1.3125E0
FMT_VAR,CROnto,4.863636E0
FMT_VAR,CWND,8.333333E-1
FMT_VAR,CWNN,8.333333E-1
FMT_VAR,CWNS,1.0E0
FMT_VAR,DITOnto,2.0E0
FMT_VAR,DPWND,NaN
FMT_VAR,DPWNN,NaN
FMT_VAR,DPWNS,NaN
FMT_VAR,DxC,3.333333E-1
FMT_VAR,DxDP,NaN
FMT_VAR,DxOP,NaN
FMT_VAR,DxP,0.0E0
FMT_VAR,INROnto,9.545455E-1
FMT_VAR,LCOMOnto,1.0E0
FMT_VAR,LRClassPCT,0.0E0
FMT_VAR,LRsxC,0.0E0
FMT_VAR,LSLD,NaN
FMT_VAR,NACOnto,1.0E0
FMT_VAR,NLR,0.0E0
FMT_VAR,NLRC,0.0E0
FMT_VAR,NOCOnto,2.1E1
FMT_VAR,NOMOnto,0.0E0
FMT_VAR,NxC,1.666667E-1
FMT_VAR,NxDP,NaN
FMT_VAR,NxOP,NaN
FMT_VAR,NxP,0.0E0
FMT_VAR,OPWND,NaN
FMT_VAR,OPWNN,NaN
FMT_VAR,OPWNS,NaN
FMT_VAR,POnto,0.0E0
FMT_VAR,PROnto,0.0E0
FMT_VAR,RFCOnto,9.545455E-1
FMT_VAR,RROnto,1.0E0
FMT_VAR,SYSNAM,NaN
FMT_VAR,SxAP,0.0E0
FMT_VAR,SxC,0.0E0
FMT_VAR,SxDP,NaN
FMT_VAR,SxOP,NaN
FMT_VAR,SxP,0.0E0
FMT_VAR,TMOnto,0.0E0
FMT_VAR,TMOnto2,0.0E0
FMT_VAR,WMCOnto,1.0E0
FMT_VAR,WMCOnto2,1.0E0
NVS_L05,ANOnto,0.0E0
NVS_L05,APWND,1.0E0
NVS_L05,APWNN,1.0E0
NVS_L05,APWNS,1.0E0
NVS_L05,AROnto,0.0E0
NVS_L05,CBOOnto,2.0E0
NVS_L05,CROnto,9.866667E1
NVS_L05,CWND,1.0E0
NVS_L05,CWNN,1.0E0
NVS_L05,CWNS,1.0E0
NVS_L05,DITOnto,2.0E0
NVS_L05,DPWND,NaN
NVS_L05,DPWNN,NaN
NVS_L05,DPWNS,NaN
NVS_L05,DxC,0.0E0
NVS_L05,DxDP,NaN
NVS_L05,DxOP,NaN
NVS_L05,DxP,0.0E0
