ontologyAcronym,metricAcronym,result
EMMO-MECH-TEST,OPWNS,1.0E0
EMMO-MECH-TEST,SYSNAM,NaN
EMMO-MECH-TEST,SxAP,0.0E0
EMMO-MECH-TEST,SxC,1.017812E-2
EMMO-MECH-TEST,SxC,0.0E0
EMMO-MECH-TEST,SxDP,0.0E0
EMMO-MECH-TEST,SxOP,0.0E0
EXTRUONT,APWND,6.363636E-1
EXTRUONT,APWNN,3.636364E-1
EXTRUONT,APWNS,1.0E0
EXTRUONT,CWND,2.857143E-2
EXTRUONT,CWNN,0.0E0
EXTRUONT,CWNS,1.0E0
EXTRUONT,DPWND,NaN
EXTRUONT,DPWNN,NaN
EXTRUONT,DPWNS,NaN
EXTRUONT,DxAP,3.636364E-1
EXTRUONT,DxAP,6.363636E-1
EXTRUONT,DxC,1.085714E0
EXTRUONT,DxDP,NaN
EXTRUONT,DxOP,1.888889E0
EXTRUONT,DxP,1.137931E0
EXTRUONT,DxP,1.310345E0
EXTRUONT,LRClassPCT,0.0E0
EXTRUONT,LRsxC,0.0E0
EXTRUONT,LSLD,NaN
EXTRUONT,NLR,0.0E0
EXTRUONT,NLRC,0.0E0
EXTRUONT,NxC,1.6E0
EXTRUONT,NxDP,NaN
EXTRUONT,NxOP,1.444444E0
EXTRUONT,OPWND,5.555556E-2
EXTRUONT,OPWNN,0.0E0
EXTRUONT,OPWNS,1.0E0
EXTRUONT,SYSNAM,NaN
EXTRUONT,SxAP,0.0E0
EXTRUONT,SxC,0.0E0
EXTRUONT,SxC,0.0E0
EXTRUONT,SxDP,NaN
EXTRUONT,SxOP,0.0E0
FALCON,APWND,NaN
FALCON,APWNN,NaN
FALCON,APWNS,NaN
FALCON,CWND,1.0E0
FALCON,CWNN,1.0E0
FALCON,CWNS,1.0E0
FALCON,DPWND,1.0E0
FALCON,DPWNN,1.0E0
FALCON,DPWNS,1.0E0
FALCON,DxAP,NaN
FALCON,DxAP,NaN
FALCON,DxC,0.0E0
FALCON,DxDP,0.0E0
FALCON,DxOP,0.0E0
FALCON,DxP,0.0E0
FALCON,DxP,0.0E0
FALCON,LRClassPCT,0.0E0
