Repository,OQUARE.xml,OQUARE.ttl,HURON_long.tsv,HURON_wide.tsv,HURON.ttl,OntologyFilename
data.earthportal.eu,T,T,T,T,T,aer_pfm-20230915-skos__Platforms.ttl
data.earthportal.eu,T,T,T,T,T,actris_cl-20240422-skos__ACTRIS-controlled-lists.ttl
data.earthportal.eu,F,F,T,T,T,fmt_pro-20240308-skos__formater-produit-220722.ttl
data.earthportal.eu,T,T,T,T,T,sdndev-20231013-skos__NVS-SDNDEV-542-withTopLevelConcepts-someBroaders1.rdf
data.earthportal.eu,T,T,T,T,T,sty-20220602-umls__umls-semantictypes.ttl
data.earthportal.eu,T,T,T,T,T,nvs_od1-20231031-skos__NVS-OD1.ttl
data.earthportal.eu,T,T,T,T,T,easydata_themes-20240319-skos__Voc-thematique.ttl
data.earthportal.eu,T,T,T,T,T,ssn-20240327-owl__ssn.owl
data.earthportal.eu,T,T,T,T,T,nvs_r-20231002-skos__Query1.ttl
data.earthportal.eu,F,F,T,T,T,fmt_net-20240308-skos__formater-reseau-220722.ttl
data.earthportal.eu,T,T,T,T,T,easydata_kw-20240319-skos__motsClefs.ttl
data.earthportal.eu,T,T,T,T,T,sweet-20240319-owl__sweetAll.owl
data.earthportal.eu,T,T,T,T,T,sxt_cdo-20231011-skos__odatis-centre-donnees.ttl
data.earthportal.eu,T,T,T,T,T,nvs_l05-20230922-skos__NVS-L05-EarthPortal.ttl
data.earthportal.eu,T,T,T,T,T,nvs_p07-20231130-skos__NVS-P07-updated-2.ttl
data.earthportal.eu,T,T,T,T,T,nvs_p06-20231013-skos__NVS-P06.ttl
data.earthportal.eu,T,T,T,T,T,fmt_ptf-20240308-skos__formater-platform-220722.ttl
data.earthportal.eu,T,T,T,T,T,sosa-20240327-owl__sosa.owl
data.earthportal.eu,T,T,T,T,T,aer_ins-20230914-skos__Instruments.ttl
data.earthportal.eu,T,T,T,T,T,actris_vocab-20240328-skos__ACTRIS-vocabulary.ttl
data.earthportal.eu,T,T,T,T,T,fmt_var-20240308-skos__formater-variable-220722.ttl
data.earthportal.eu,T,T,T,T,T,aer_pjt-20230915-skos__Projects.ttl
data.earthportal.eu,T,T,T,T,T,sxt_aob-20231031-skos__myocean.area-of-benefit-updated.rdf
data.earthportal.eu,T,T,T,T,T,brgm_lth-20231115-skos__litho.ttl
data.earthportal.eu,F,F,T,T,T,fmt_dt-20240308-skos__formater-discipline-220722.ttl
data.earthportal.eu,T,T,T,T,T,nvs_p02-20231011-skos__NVS-P02-EarthPortal.ttl
data.earthportal.eu,T,T,T,T,T,brgm_uom-20231115-skos__uom.ttl
data.earthportal.eu,T,T,T,T,T,arg-20230922-owl__argo-floats.ttl
data.earthportal.eu,T,T,T,T,T,easydata_infra-20240412-skos__InfraRecherche.ttl
data.earthportal.eu,F,F,T,T,T,fmt_foi-20240308-skos__formater-foi-220722.ttl
data.earthportal.eu,T,T,T,T,T,nvs_l22-20230922-skos__NVS-L22-EarthPortal.ttl
data.earthportal.eu,T,T,T,T,T,aer_prm-20230915-skos__Parameters.ttl
data.earthportal.eu,T,T,T,T,T,fmt_int-20240308-skos__formater-instrument-220722.ttl
data.earthportal.eu,F,F,T,T,T,toz-20240508-skos__theia-ozcar-thesaurus.rdf
