"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"GNO",0.9999948,0.48,0.36,1,0,1.404027,2.611948e-05,0,0,0.9804522,20,1,0.52,1.346987,10.72001,0,0,1.430585,0,0,1.947633,0,1,0.64,1.306361,0,1.346987,1,0,0.03867641,0,0.283215,2.225196,68.68519,6.407192
"GO",1.061159,0.65,0.65,1,19.99958,1.713085,2.090913e-05,0,0,0.3475328,18,1.057532,0.3043478,1.513465,9.131083,0,0.000141995,1.450205,6,0,4.647682,0.5959102,1,0.4347826,1.396939,0.2825055,2.109376,0.7174945,0,2.682523,0,0.3645374,2.408627,78.50518,8.597575
"GRO",1.003945,1,1,1,27.99211,1.116832,0.007889546,0.9940711,0,1,13,0.005928854,0,1.112426,7.558648,0.001976285,0.003952569,1.086687,2,1,3.065217,0.9092702,1,0,0.9349112,0.4497561,2.021696,0.5502439,0,0,0,0.05928854,2.066667,11.7709,1.557276
"HAO",0.9946112,1,0.6875,1,5.997691,1.060484,1.063895,0.0003977725,0,0.6268894,12,0.9996022,0,1.012317,6.457726,0.0003977725,0.00159109,1.012395,4,1,7.758112,2.006928,1,0.5,0.9657429,0.6647119,3.019246,0.3352881,0,1.028242,0,0.01232191,2,6.863656,1.06286
"HENEGEO",0.9953329,1,1,1,0,1.000901,0.004333767,0.9979331,0.002900387,0.2759035,5,0.00210028,0,0.9999667,2.003976,0,0,1,0,0,468.6875,0,1.988999,0,0.9990332,0,0.9999667,1,0,1.926157,0,0,0,2.003976,1
"HGNC-NR",0.9995921,1,1,1,0,1,0,1,0.0001368363,0.0001368363,4,0,0,0.9999796,3,0,0,1,0,0,7003.714,0,1.999726,0,0.9999592,0,0.9999796,1,0,2.006705,0,0,0,3,1
"HIO",1.032258,0.5625,0.5625,1,46,1.101215,0,0.1902834,0,1,11,0.8481781,0.8688525,1.096774,5.491272,0.002024291,0.006072874,1.121212,3,1,3.277108,0.4495968,1.002024,0.8688525,1.096774,0.2907432,1.546371,0.7092568,0,0,0,0.0969697,2.020833,6.672727,1.215152
"HOM",1.268657,1,0.5555556,1,0,1.184615,0,0,0,0.4307692,7,1.292308,0,1.149254,4.72,0.01538462,0.06153846,1.236842,4,1,2.655172,0,1,0.4444444,1.119403,0,1.149254,1,0,1.169231,0,0.1666667,2,6.210526,1.315789
"HP",1.204831,0.9565217,0.5,1,2.999842,1.256852,5.273705e-05,0.1365991,0,0.4257121,19,1.077795,0.04081633,1.228615,10.82301,0,0.0001618472,1.196191,3,0,4.029926,0.0001582112,1,0.5306122,1.209366,0.0001287554,1.228773,0.9998712,0,1.244227,0,0.1922367,2.20631,56.5759,5.227373
"HSAPDV",1.161538,0.7368421,0.3421053,1,2.988462,1.088235,0,0,0,0.8277311,3,1.201681,0.4878049,0.9961538,1.918605,0,0.03361345,1,8,0,129.5,1.8,1,0.6829268,0.9115385,0.6437414,2.796154,0.3562586,0,0.210084,0,0,0,1.918605,1
"HSPO",0.001617476,0.875,0.875,1,1.917036,1.294413,0.003634778,0.07692308,0.03846154,0.9807692,7,0.9423077,0.6323529,1.293872,4.503464,0.01923077,0.05769231,1.247034,3,1,8.820964,0.002780605,0.9615385,0.6764706,0.000490695,0.002144449,1.296652,0.9978556,0,0.25,0,0,0,3.655294,0.8116627
"HTN",1.044776,0.4303797,0.2151899,0.9683544,110.6833,1.038206,0,0.307309,0.008305648,0.7541528,15,0.7541528,0.8628842,1.036484,7.308094,0.00166113,0.00166113,1.034384,1,1,2.46063,2.457711,1.006645,1.01182,1.026534,0.7033697,3.494196,0.2966303,0.0443038,0.7059801,0.2624113,0.03156146,2.052632,8.020057,1.097421
"ICD10CM",0,0.7142857,0.7142857,1,9.999662,1.000246,0.9999386,1,0,0.9280248,9,0,1,0.9999898,6.237514,0,0,1,0,0,4.140945,3.061045,1,0.6875,0.9999079,0.7537598,4.061034,0.2462402,0,0.1356633,0,0,0,6.237514,1
"ICD10PCS",0,0.7142857,0.7142857,1,4.999958,1.000094,0.9999687,1,0,0.5851894,9,0,1,0.9999948,6.997713,0,0,1,0,0,1.696416,2.413796,1,0.5454545,0.9999583,0.707072,3.413791,0.292928,0,0.4148106,0,0,0,6.997713,1
"ICF",0.9893484,1,1,1,4.199248,1.001255,3.011905,0.9974922,0.003761755,0.06269592,10,0.002507837,0.1142857,0.9993734,7.218583,0,0.004388715,1,7,0,5.636042,8.840226,0.9962382,0.6,0.9981203,0.8984335,9.839599,0.1015665,0,0.9373041,0,0.0006269592,2,7.218583,1
"ICW",0.9917355,1,0.7777778,1,0,1,0,0.9916667,0,0.9916667,6,0.008333333,0,0.9917355,3.977011,0,0.05,1,6,0,3.529412,0,2,0.2222222,0.9917355,0,0.9917355,1,0,0.01666667,0,0,0,3.977011,1
"IDOBRU",1.434661,0.5353535,0.3737374,1,95.90479,1.929038,0.007778469,0.2412827,0.001556663,0.9327522,36,1.352007,0.6328125,1.140946,8.953954,0.0003112356,0.001244942,1.1774,4,1,5.36896,1.443373,1.005291,0.8710938,1.004045,0.5585119,3.371811,0.4414881,0,0.113601,0.1484375,0.006224712,2,10.60253,1.184117
"INO",1.042553,0.4461538,0.1384615,0.9846154,59.81763,1.058104,0,0.1219512,0.00304878,0.679878,13,0.9359756,0.824,1.051672,7.909091,0.00304878,0.006097561,1.059633,2,1,3.117117,0.7963526,0.9969512,1.016,1.027356,0.4309211,1.848024,0.5690789,0.01538462,0.597561,0.224,0.03353659,2.090909,8.779817,1.110092
