Repository,OQUARE.xml,OQUARE.ttl,HURON_long.tsv,HURON_wide.tsv,HURON.ttl,OntologyFilename
data.industryportal.enit.fr,T,T,T,T,T,bfo-20240404-owl__bfo-core.owl
data.industryportal.enit.fr,F,F,T,T,T,funstep-20211130-owl__FurnitureSectorTaxonomy-v2.5.1.owl
data.industryportal.enit.fr,F,F,T,T,T,romain-20211130-owl__ROMAIN.owl
data.industryportal.enit.fr,F,F,T,T,T,iof-scro-20231010-owl__SupplyChainReferenceOntology.rdf
data.industryportal.enit.fr,F,F,T,T,T,grace-20211205-owl__grace-ontology-with-assert.owl
data.industryportal.enit.fr,F,F,T,T,T,gi2mo-20211201-owl__ns.owl
data.industryportal.enit.fr,F,F,T,T,T,rec-20230223-owl__REC.owl
data.industryportal.enit.fr,T,T,T,T,T,saref-20221214-owl__saref.ttl
data.industryportal.enit.fr,F,F,T,T,T,falcon-20211201-owl__falconto.owl
data.industryportal.enit.fr,T,T,T,T,T,imamo-20211208-owl__IMAMO.owl
data.industryportal.enit.fr,T,T,T,T,T,var-20211205-owl__ontology.ttl
data.industryportal.enit.fr,T,T,T,T,T,reqspeconto-20231013-owl__ReqSpecOnto-with-individuals-v1.0.owl
data.industryportal.enit.fr,T,T,T,T,T,demo-20211201-owl__DeMO.owl
data.industryportal.enit.fr,F,F,T,T,T,emmo-mech-test-20220713-owl__emmo-mechanical-testing.owl
data.industryportal.enit.fr,T,T,T,T,T,sty-20210826-umls__umls-semantictypes.ttl
data.industryportal.enit.fr,F,F,T,T,T,i40kg-20211201-owl__ontology.xml
data.industryportal.enit.fr,T,T,T,T,T,cco-20240422-owl__MergedAllCoreOntology-v1.5-2024-02-14.ttl
data.industryportal.enit.fr,T,T,T,T,T,saref4inma-20211129-owl__ontology-saref4inma.ttl
data.industryportal.enit.fr,F,F,T,T,T,msdl-20211129-owl__MSDL-Ontology.owl
data.industryportal.enit.fr,T,T,T,T,T,ssn-20230223-owl__SSN.owl
data.industryportal.enit.fr,T,T,T,T,T,iof-core-20231010-owl__Core.rdf
data.industryportal.enit.fr,F,F,T,T,T,extruont-20211201-owl__ExtruOnt.owl
data.industryportal.enit.fr,T,T,T,T,T,iof-av-20231010-owl__AnnotationVocabulary.rdf
data.industryportal.enit.fr,T,T,T,T,T,iof-maintenance-20231010-owl__MaintenanceReferenceOntology.rdf
data.industryportal.enit.fr,T,T,T,T,T,z-bre4k-20211205-owl__Z-bre4k.rdf
data.industryportal.enit.fr,F,F,T,T,T,manuservice-20211129-owl__ManuService.owl
data.industryportal.enit.fr,T,T,T,T,T,iao-20230115-owl__iao.owl
