"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DPWND","DPWNN","DPWNS","DxC","DxDP","DxOP","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","LSLD","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxDP","NxOP","NxP","OPWND","OPWNN","OPWNS","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxDP","SxOP","SxP","SYSNAM","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"AGFOOD",0,1,1,1,0,4,655.8,1,1,1,2,NA,NA,NA,0,NA,NA,0,0.8,1,0,0,NA,1,0,0,4,0,0,NA,NA,0,NA,NA,NA,0,0,0.8,1,0,0,NA,NA,0,NA,0,0,1,1
"ASCOPAIN-T",0,1,1,1,0,2,29,1,1,1,2,NA,NA,NA,0,NA,NA,0,0.6666667,1,0,0,NA,1,0,0,2,0,0,NA,NA,0,NA,NA,NA,0,0,0.6666667,1,0,0,NA,NA,0,NA,0,0,1,1
"ATOL",1.991925,1,1,1,0,1.036155,0,1,0,0.5085034,14,NA,NA,NA,0,NA,NA,0,1.035274,7.858995,0,0.00255102,NA,1.030266,6,0,3.475036,0,2,NA,NA,0,NA,NA,NA,1.035274,0,1.035274,1,0,0.9953231,NA,NA,0,NA,0.03231293,2.131579,8.80569,1.12046
"BCO",1.312102,0.5866667,0.3733333,1,185.0191,1.058824,0.1783439,0.1826087,0.05217391,0.8434783,11,0.006289308,0.01886792,1,1.069565,1,0.8723404,0.8327402,1.031847,5.087591,0.02608696,0.06086957,1,1.027778,7,3,3.306122,2.719745,0.9652174,0.9811321,1.042553,0.9359431,0.2244898,0,0.4897959,1.038217,0.7249576,3.751592,0.2750424,0,0.3043478,0,0.8510638,0.1423488,NA,0.05769231,2,6.453704,1.268519
"BFO",0.9722222,0.9166667,0.375,1,0,1,0,0.7714286,0,0.9714286,7,NA,NA,NA,0.2285714,NA,NA,0.08333333,0.9722222,4.904762,0.1142857,0.2857143,1,1,10,4,2.333333,0,1,NA,NA,0.625,NA,NA,NA,0.9722222,0,0.9722222,1,0,0.02857143,NA,NA,0,0.2615385,0,0,4.904762,1
"BIOREFINERY",0,1,1,1,4.992401,1.049612,1.133739,1,0.01978691,0.9223744,10,1,1,1,0,0,0,0,1.028875,5.281588,0,0,NA,1.037453,0,0,5.459677,2.113982,1.917808,0,0,0,1,1,1,1.012158,0.6726306,3.142857,0.3273694,0,0.1065449,0,0,0,NA,0.02130898,2.571429,5.479401,1.037453
"BIPON",1.035489,1,0.969697,1,19.83114,1.535817,0.4390384,0.8316151,0,0.7703322,17,NA,NA,NA,0.1838488,NA,0,0,1.534058,7.625676,0,0.0005727377,NA,1.772482,1,0,4.220472,0.815684,1.002864,NA,0.9333333,0.4603175,1,0.06666667,0.9333333,1.077275,0.3471376,2.349742,0.6528624,0,0.7033219,NA,0.06666667,0.03174603,NA,0.07731959,2.022222,24.09083,3.159173
"BOHLMANN",0.1210148,1,0.8214286,1,0.9999814,1.000037,0,0.9998884,0.8760626,0.6423616,5,NA,NA,NA,0.0001116051,NA,0,0,0.9999814,2.715045,0,0,NA,1,0,0,61.09205,0.3575574,0.1239374,NA,0,0.1724138,1,1,1,0.9999256,0.2633865,1.357539,0.7366135,0,1.091684,NA,0,0,NA,0,0,2.715045,1
"C3PO",0,1,1,1,9.745856,1,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,1,1.351351,NA,NA,NA,1.007353,0,0,4.022222,0,NA,NA,NA,0,NA,NA,NA,0,0,1,1,0,NA,NA,NA,0,NA,0,0,0.3676471,0.2720588
"CASO",1.925926,1,1,1,31.48148,1.928571,0,0,0,1,4,0,0,1,1.115385,1,1.025641,0.6666667,1,1.833333,0.03846154,0.03846154,0.6666667,1.058824,1,1,2.7,5.111111,1,1,1,0.6515152,0,0,1,0.5555556,0.8363636,6.111111,0.1636364,0,0,0,0,0,1,0.03846154,2,1.941176,1.058824
