"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","0.621318, 29.24987",""
"CBOOnto","2.5277222, 13.5","1.78231477777778, 13.5, 3.64583333333333"
"CROnto","3958.5, 173.037113968125","648.722233333333, 63.2636248838462, 3958.5"
"DITOnto","",""
"DxP","",""
"INROnto","1.02471145, 0.718831190909091","1.16794, 0.93390632, 0.70500002"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","16, 3.57512307142857","18.5, 10.059195, 3.14871792307692"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","0.88811882, 4.6841435","2.9134295, 5.956522, 0.779049164285714"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
