"Metric","Cluster_betweenss_k_2","Cluster_betweenss_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","2024.8792684648",""
"CBOOnto","212.45449433007","224.956219394909"
"CROnto","13486804.0108468","14322285.8549779"
"DITOnto","",""
"DxP","",""
"INROnto","0.363243551264731","0.438464167316231"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","381.403400058009","450.224657760383"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","25.4290647726514","30.6684821835582"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
