"Metric","Cluster_anova_k_2","Cluster_anova_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","341.428221007454",""
"CBOOnto","158.63941262013","128.675093906673"
"CROnto","347.555856817798","1276.5350336068"
"DITOnto","",""
"DxP","",""
"INROnto","80.1425310771744","138.131169400542"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","89.2727944538163","142.224303045536"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","106.083881156685","488.571192691682"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
