"Metric","Cluster_totss_k_2","Cluster_totss_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","2173.14463903742",""
"CBOOnto","245.935218133366","245.935218133366"
"CROnto","14456921.7448948","14456921.7448948"
"DITOnto","",""
"DxP","",""
"INROnto","0.476555280499655","0.476555280499655"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","488.211807476946","488.211807476946"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","31.4217435131409","31.4217435131409"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
