"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"ANOnto","4",0.870833333333333,0.777285181875095,"4",0.870833333333333,0.777285181875095,"4",0.773859589608114
"AROnto","3",0.856666666666667,0.677547468521549,"2",0.759821428571429,0.82664217869875,"2",0.693960934853856
"CBOOnto","3",0.824384920634921,0.811727230917461,"3",0.824384920634921,0.811727230917461,"3",0.746780304736008
"CROnto","2",0.74890873015873,0.767786972298253,"2",0.74890873015873,0.767786972298253,"2",0.661955548307515
"CWND","2",0.9475,0.733956888679262,"3",0.884444444444444,0.736966369332485,"3",0.768125127771476
"CWNN","2",0.971428571428571,0.973674739767631,"2",0.971428571428571,0.973674739767631,"2",0.958642016458563
"CWNS","3",0.839980158730159,0.758234460811899,"2",0.818095238095238,0.782078620316793,"2",0.72895501659625
"DITOnto","2",0.951190476190476,0.669133340254516,"2",0.951190476190476,0.669133340254516,"2",0.793831868371046
"DxC","2",0.831160714285714,0.643495975729142,"2",0.831160714285714,0.643495975729142,"2",0.683004644556365
"DxOP","2",1,0.739569071138111,"2",1,0.739569071138111,"2",0.869784535569055
"DxP","2",0.959523809523809,0.744503032852915,"3",0.844166666666667,0.760178558237031,"3",0.742942033122547
"INROnto","2",0.857490079365079,0.736014159042731,"2",0.857490079365079,0.736014159042731,"2",0.744307459508226
"LCOMOnto","2",0.933333333333333,0.660549010010883,"2",0.933333333333333,0.660549010010883,"2",0.774922871338412
"LRClassPCT","2",0.837202380952381,0.892554562876084,"2",0.837202380952381,0.892554562876084,"2",0.792225593061075
"LRsxC","2",0.971875,0.841934226307588,"2",0.971875,0.841934226307588,"2",0.895064913096344
"NACOnto","3",0.858333333333333,0.704659363805428,"2",0.829166666666667,0.742355169189449,"2",0.722351413893126
"NLR","3",0.881388888888889,0.75,"3",0.881388888888889,0.75,"3",0.771215277777778
"NOCOnto","2",0.9275,0.703660057861394,"4",0.852083333333333,0.732032208437046,"4",0.737917888802866
"NOMOnto","2",0.827142857142857,0.569953584754487,"2",0.827142857142857,0.569953584754487,"2",0.649287946837748
"NxC","2",0.971428571428571,0.924703851412012,"2",0.971428571428571,0.924703851412012,"2",0.93485615640012
"NxOP","3",0.980555555555556,0.911136375004307,"2",0.969285714285714,0.924833614017628,"2",0.932856862222114
"NxP","2",1,0.825902405356254,"2",1,0.825902405356254,"2",0.912951202678127
"OPWND","2",0.986666666666667,0.80456623364904,"3",0.951666666666667,0.824914568313423,"3",0.868355182089137
"OPWNN","2",1,0.957091703826819,"2",1,0.957091703826819,"2",0.978545851913409
"OPWNS","3",0.853670634920635,0.770416050677124,"2",0.823373015873016,0.826190926126403,"2",0.751818165202316
"POnto","3",0.888333333333333,0.766456325902102,"3",0.888333333333333,0.766456325902102,"3",0.784601018088183
"PROnto","2",0.872589285714286,0.690811675031614,"3",0.833571428571429,0.764092306160566,"3",0.735248471889065
"RFCOnto","2",0.827142857142857,0.571300277061486,"2",0.827142857142857,0.571300277061486,"2",0.649844900299
"RROnto","2",0.872589285714286,0.690811675031614,"3",0.833571428571429,0.764092306160565,"3",0.735248471889065
"SxC","3",0.839980158730159,0.758234371875184,"2",0.818095238095238,0.87939602150678,"2",0.768762467844916
"SxOP","3",0.853670634920635,0.770415975637673,"2",0.823373015873016,0.872544145155473,"2",0.77090116007601
"SxP","2",0.824484126984127,0.82956113693386,"2",0.824484126984127,0.82956113693386,"2",0.7542220583745
"TMOnto","2",0.908581349206349,0.79933030625674,"2",0.908581349206349,0.79933030625674,"2",0.817418978663311
"WMCOnto","3",0.873611111111111,0.616906882143427,"4",0.783125,0.649952108002602,"4",0.646059372289769
"WMCOnto2","3",0.905357142857143,0.667860495548447,"2",0.807142857142857,0.815888041356948,"2",0.732840530976197
