"Metric","Cluster_tot.withinss_k_2","Cluster_tot.withinss_k_3"
"ANOnto","3.79381462130516","0.966692015748338"
"APWND","0.0590097969904444","0.0356669908756571"
"APWNN","0.342690886463539","0.0836728909292394"
"APWNS","",""
"AROnto","24069.8078056775","15903.2196488644"
"CBOOnto","39.0712661574965","8.74617446416176"
"CROnto","8138483.22703959","649512.850129404"
"DITOnto","748.96","262.546365914787"
"DxP","1.65775609384805","0.476909764488991"
"INROnto","0.789915874273883","0.15923112797972"
"LCOMOnto","88.6159612570205","39.6345105364161"
"NACOnto","0.25521740086595","0.0876956153615588"
"NLR","247.245454545455","133.775641025641"
"NLRC","12.9090909090909","6.90909090909091"
"NOCOnto","825.705088817602","268.073217041611"
"NOMOnto","2945.84577556948","120.334837437949"
"NxP","1.03110565044916","0.289146185846373"
"POnto","1.19113609700706","0.677120463005006"
"PROnto","0.818211457254266","0.376899501038864"
"RFCOnto","2994.151153485","119.226593958728"
"RROnto","0.818211473903023","0.376899497285535"
"SxAP","",""
"SxP","0.0442405458450137",""
"TMOnto","0.0538308540822804","0.0260084644911855"
"TMOnto2","0.59347029600024","0.0998051323137025"
"WMCOnto","2280.11314620308","387.584889041454"
"WMCOnto2","20.5371813242261","19.0479545468419"
