"Metric","Cluster_size_k_2","Cluster_size_k_3"
"ANOnto","28, 13","8, 13, 20"
"APWND","35, 6","32, 6, 3"
"APWNN","12, 29","9, 27, 5"
"APWNS","",""
"AROnto","4, 37","4, 30, 7"
"CBOOnto","1, 40","1, 3, 37"
"CROnto","40, 1","39, 1, 1"
"DITOnto","16, 25","19, 21, 1"
"DxP","18, 23","3, 23, 15"
"INROnto","36, 5","32, 4, 5"
"LCOMOnto","19, 22","10, 17, 14"
"NACOnto","5, 36","1, 6, 34"
"NLR","30, 11","13, 4, 24"
"NLRC","33, 8","33, 2, 6"
"NOCOnto","2, 39","1, 37, 3"
"NOMOnto","1, 40","1, 39, 1"
"NxP","30, 11","17, 13, 11"
"POnto","27, 14","26, 10, 5"
"PROnto","18, 23","15, 15, 11"
"RFCOnto","1, 40","1, 39, 1"
"RROnto","18, 23","15, 15, 11"
"SxAP","",""
"SxP","6, 35",""
"TMOnto","5, 36","4, 31, 6"
"TMOnto2","25, 16","16, 21, 4"
"WMCOnto","6, 35","5, 35, 1"
"WMCOnto2","4, 37","35, 2, 4"
