"Metric","Cluster_betweenss_k_2","Cluster_betweenss_k_3"
"ANOnto","12.5977919099991","15.4249145155559"
"APWND","0.667213960508487","0.690556766623274"
"APWNN","1.7150019762423","1.9740199717766"
"APWNS","",""
"AROnto","121241.893484202","129408.481641015"
"CBOOnto","202.053823731057","232.378915424392"
"CROnto","44298193.366203","51787163.7431132"
"DITOnto","1189.08878048781","1675.50241457302"
"DxP","5.83627503483422","7.01712136419328"
"INROnto","0.394877253506612","1.02556199980078"
"LCOMOnto","263.450177923281","312.431628643886"
"NACOnto","0.63803569638483","0.805557481889221"
"NLR","481.730155210643","595.199968730457"
"NLRC","51.139689578714","57.139689578714"
"NOCOnto","3486.6524813324","4044.28435310839"
"NOMOnto","451971587.894988","451974413.405926"
"NxP","3.22087328233175","3.96283274693453"
"POnto","7.20049762261125","7.7145132566133"
"PROnto","3.66751032926195","4.10882228547735"
"RFCOnto","451964220.979655","451967095.904215"
"RROnto","3.66751038291431","4.1088223595318"
"SxAP","",""
"SxP","0.248559592411215",""
"TMOnto","0.254649620041401","0.282472009632496"
"TMOnto2","42.6790257834934","43.1726909471799"
"WMCOnto","3633.19702478108","5525.72528194271"
"WMCOnto2","36.0088741519035","37.4981009292877"
