"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"ANOnto","1.28069755, 0.0894872176923077","1.783113375, 0.0894872176923077, 1.07973122"
"APWND","0.98654642, 0.625623183333333","0.99445371875, 0.625623183333333, 0.9022019"
"APWNN","0.523798608333333, 0.973303703448276","0.679244322222222, 0.985737225925926, 0.35665734"
"APWNS","",""
"AROnto","198.251575, 14.9832435756757","198.251575, 7.80682341, 45.73933"
"CBOOnto","16, 1.6088510075","16, 4.66666666666667, 1.36092000810811"
"CROnto","99.99266856107, 6838.364","30.7061472421231, 6838.364, 2802.167"
"DITOnto","16, 4.96","13.5263157894737, 4.09523809523809, 37"
"DxP","0.799029255555556, 0.0387736469565217","1.37175333333333, 0.0387736469565217, 0.68448444"
"INROnto","1.07505861111111, 0.77515152","1.018786465625, 0.741666675, 1.4020068"
"LCOMOnto","7.28017878947368, 2.19679340909091","4.5598088, 1.66920370588235, 8.04845007142857"
"NACOnto","1.4161116, 1.03488941666667","1.772482, 1.275682, 1.02676479411765"
"NLR","0.9, 8.63636363636364","4.84615384615385, 12.75, 0.333333333333333"
"NLRC","0.181818181818182, 3","0.181818181818182, 4.5, 2.5"
"NOCOnto","47.45779, 4.64742225641026","61.09205, 3.94187751351351, 23.07451"
"NOMOnto","21526.36, 2.631754355315","21526.36, 1.28593677468205, 55.11864"
"NxP","0.652592193333333, 0.0200029863636364","0.790115617647059, 0.472753869230769, 0.0200029863636364"
"POnto","1.02294311481481, 0.139197475","1.03641295384615, 0.027307175, 0.46968404"
"PROnto","0.717582066666667, 0.114915040286957","0.764516913333333, 0.0270235151066667, 0.335128790909091"
"RFCOnto","21527.27, 3.71716818","21527.27, 2.35963351794872, 56.66102"
"RROnto","0.282417934429444, 0.885084965217391","0.235483087982, 0.972976493333333, 0.664871209090909"
"SxAP","",""
"SxP","0.221806333333333, 0.00151493228571429",""
"TMOnto","0.26293076, 0.0220915510555556","0.28818725, 0.0125175821935484, 0.094859265"
"TMOnto2","2.09155448, 0","0, 2.03022538095238, 2.41353225"
"WMCOnto","30.921385, 4.28797615428571","22.978824, 4.28797615428571, 70.63419"
"WMCOnto2","4.267258, 1.10886737297297","1.15682531428571, 0.2696034, 4.267258"
