"Metric","Cluster_tot.withinss_k_2","Cluster_tot.withinss_k_3"
"ANOnto","1.65069924169532","0.53631800609911"
"APWND","0.195454673579513","0.0143866894807161"
"APWNN","0.183103704898913","0.00120827415590907"
"APWNS","",""
"AROnto","3353.42433854275","434.459958305375"
"CBOOnto","1.36699917402765","0.0305446829409"
"CROnto","0.131831411448673","0.0528905793163291"
"CWND","0.281358429540677","0.073399507194583"
"CWNN","0.00935583778969306","0.00834116585943973"
"CWNS","0.0148260415180923","0.00236957262855567"
"DITOnto","32.8888888888889","16.8333333333333"
"DxC","1.18421393994644","0.277688624921233"
"DxP","0.509144860597312","0.143762653718011"
"INROnto","0.00109735227735231","0.000230178854569722"
"LCOMOnto","10.8147824831423","8.37264780448273"
"LRClassPCT","0.0012551029943124",""
"LRsxC","0.00494944736241775","0.00231113197481608"
"NACOnto","0.000763209964307696","0.000132687081638888"
"NLR","16.3333333333333","4"
"NLRC","1.63636363636364",""
"NOCOnto","3.74932249555457","2.12573913544705"
"NOMOnto","18.8640753641411","8.63181500533395"
"NxC","0.0714468532169091","0.0134490709981529"
"NxP","0.343114413182489","0.079971706780558"
"POnto","0.277501832570332","0.242018819117425"
"PROnto","0.180140484038812","0.0585936101852355"
"RFCOnto","20.1333417490637","9.4729085821772"
"RROnto","0.180140484038812","0.0585936101852356"
"SxAP","",""
"SxC","0.0148260374619639","0.0023695752977336"
"SxP","0.0083722706087536","0.00103503013806089"
"TMOnto","0.0013674722023967","0.000389848544706227"
"TMOnto2","0",""
"WMCOnto","13.437183088267","5.2861932982465"
"WMCOnto2","0.00885458275492307","0.00160746408956667"
