"Metric","Cluster_betweenss_k_2","Cluster_betweenss_k_3"
"ANOnto","2.4276921884752","3.54207342407141"
"APWND","2.17895546503545","2.36002344913425"
"APWNN","2.21476293824862","2.39665836899163"
"APWNS","",""
"AROnto","29924.4196206648","32843.3840009022"
"CBOOnto","2.01430283733806","3.35075732842481"
"CROnto","1.08157405436956","1.16051488650191"
"CWND","2.11589856274639","2.32385748509248"
"CWNN","2.70277845769168","2.70379312962194"
"CWNS","0.0580216258551113","0.0704780947446479"
"DITOnto","120.039682539683","136.095238095238"
"DxC","3.07215731065921","3.97868262568442"
"DxP","2.04411593835956","2.40949814523886"
"INROnto","0.228155803734397","0.22902297715718"
"LCOMOnto","42.5103018538631","44.9524365325227"
"LRClassPCT","0.0116118335282621",""
"LRsxC","0.0546933256482104","0.0573316410358121"
"NACOnto","0.00232293595890659","0.0029534588415754"
"NLR","52.5952380952381","64.9285714285714"
"NLRC","18.7207792207792",""
"NOCOnto","14.0806778970686","15.7042612571762"
"NOMOnto","53.3690258507383","63.6012862095455"
"NxC","2.85297984753755","2.91097762975631"
"NxP","2.43336149899471","2.69650420539665"
"POnto","1.12386142019324","1.15934443364615"
"PROnto","0.891514209073122","1.0130610829267"
"RFCOnto","55.258343993216","65.9187771601025"
"RROnto","0.891514209073122","1.0130610829267"
"SxAP","",""
"SxC","0.47544838382089","0.48790484598512"
"SxP","0.0609739293661725","0.0683111698368652"
"TMOnto","0.00701395215320003","0.00799157581089051"
"TMOnto2","12.8571428571429",""
"WMCOnto","39.8596638350934","48.0106536251139"
"WMCOnto2","0.0558604527314341","0.0631075713967905"
