"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"ANOnto","0.729146825396825, 0.43","0.653452380952381, 0.625, 0.745119047619048"
"APWND","1, 1","0.925, 1, 0.933333333333333"
"APWNN","1, 1","0.925, 1, 0.933333333333333"
"APWNS","",""
"AROnto","0.888573232323232, 0.75","0.966666666666667, 0.9425, 0.75"
"CBOOnto","0.867063492063492, 0.616666666666667","0.911428571428571, 0.65, 1"
"CROnto","0.95, 0.981818181818182","0.875, 0.908928571428571, 0.814285714285714"
"CWND","0.945, 0.963333333333333","0.94, 0.86, 0.916666666666667"
"CWNN","1, 1","0.666666666666667, 0.950297619047619, 0.916666666666667"
"CWNS","0.950138888888889, 0.7","0.974107142857143, 0.6, 0.925"
"DITOnto","0.971428571428571, 0.95","0.674166666666667, 0.736190476190476, 0.856666666666667"
"DxC","0.799570707070707, 0.848630952380952","0.590833333333333, 0.853333333333333, 0.838333333333333"
"DxP","0.982857142857143, 0.973333333333333","0.489166666666667, 0.905, 0.888333333333333"
"INROnto","0.7, 0.922222222222222","0.844206349206349, 0.65, 0.736785714285714"
"LCOMOnto","0.956666666666667, 0.9525","0.361666666666667, 0.6375, 0.756666666666667"
"LRClassPCT","0.955672799422799, 0.725",""
"LRsxC","1, 1","0.8775, 0.391666666666667, 0.833333333333333"
"NACOnto","0.75, 0.920833333333333","0.9125, 0.98, 0.7"
"NLR","0.907083333333333, 0.879166666666667","1, 0.955, 0.875"
"NLRC","0.971130952380952, 0.866666666666667",""
"NOCOnto","0.963333333333333, 0.958333333333333","0.411666666666667, 0.893333333333333, 0.754404761904762"
"NOMOnto","0.945714285714286, 0.927023809523809","0.9175, 0.778333333333333, 0.8275"
"NxC","1, 1","0.914166666666667, 0.925, 0.6475"
"NxP","0.975, 0.96","0.86, 1, 0.858333333333333"
"POnto","0.8675, 0.91875","0.7, 0.669761904761905, 0.35"
"PROnto","0.875, 0.956964285714286","0.908333333333333, 0.947857142857143, 0.877142857142857"
"RFCOnto","0.938571428571429, 0.91702380952381","0.88, 0.7625, 0.769166666666667"
"RROnto","0.875, 0.956964285714286","0.908333333333333, 0.947857142857143, 0.877142857142857"
"SxAP","",""
"SxC","0.950138888888889, 0.7","0.974107142857143, 0.6, 0.925"
"SxP","0.954583333333333, 0.7","0.801785714285714, 0.6, 0.5"
"TMOnto","0.941527777777778, 0.75","0.775, 0.944246031746032, 0.55"
"TMOnto2","1, 1",""
"WMCOnto","0.904404761904762, 0.912857142857143","0.9375, 0.741666666666667, 0.710833333333333"
"WMCOnto2","0.75, 0.937310606060606","0.916964285714286, 0.916666666666667, 0.7"
