Repository,Ontology,CreationDate,Format,URL
ecoportal.lifewatch.eu,ZOOPLANKTRAITS,20230913,SKOS,https://data.ecoportal.lifewatch.eu/ontologies/ZOOPLANKTRAITS/submissions/2
ecoportal.lifewatch.eu,EURIO,20211206,OWL,https://data.ecoportal.lifewatch.eu/ontologies/EURIO/submissions/1
ecoportal.lifewatch.eu,AGROVOC,20211210,SKOS,https://data.ecoportal.lifewatch.eu/ontologies/AGROVOC/submissions/1
ecoportal.lifewatch.eu,EUROSCIVOC,20211217,SKOS,https://data.ecoportal.lifewatch.eu/ontologies/EUROSCIVOC/submissions/2
ecoportal.lifewatch.eu,STY,20230911,UMLS,https://data.ecoportal.lifewatch.eu/ontologies/STY/submissions/1
ecoportal.lifewatch.eu,I-ADOPT,20231106,OWL,https://data.ecoportal.lifewatch.eu/ontologies/I-ADOPT/submissions/1
ecoportal.lifewatch.eu,BCO,20220204,OWL,https://data.ecoportal.lifewatch.eu/ontologies/BCO/submissions/1
ecoportal.lifewatch.eu,ACTRIS_CL,20240213,SKOS,https://data.ecoportal.lifewatch.eu/ontologies/ACTRIS_CL/submissions/1
biodivportal.gfbio.org,CHEBI,20230511,OBO,https://data.biodivportal.gfbio.org/ontologies/CHEBI/submissions/1
biodivportal.gfbio.org,OBOE,20230802,OWL,https://data.biodivportal.gfbio.org/ontologies/OBOE/submissions/1
biodivportal.gfbio.org,PATO,20240329,OWL,https://data.biodivportal.gfbio.org/ontologies/PATO/submissions/3
biodivportal.gfbio.org,SWEET,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/SWEET/submissions/1
biodivportal.gfbio.org,KINGDOM,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/KINGDOM/submissions/1
biodivportal.gfbio.org,QUDT,20230802,OWL,https://data.biodivportal.gfbio.org/ontologies/QUDT/submissions/1
biodivportal.gfbio.org,ATOL,20231204,OWL,https://data.biodivportal.gfbio.org/ontologies/ATOL/submissions/1
biodivportal.gfbio.org,THYSANOPTERA,20230731,OWL,https://data.biodivportal.gfbio.org/ontologies/THYSANOPTERA/submissions/1
biodivportal.gfbio.org,TRICHOPTERA,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/TRICHOPTERA/submissions/1
biodivportal.gfbio.org,RIVERS_DE,20231106,OWL,https://data.biodivportal.gfbio.org/ontologies/RIVERS_DE/submissions/1
biodivportal.gfbio.org,ORIBATIDA,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/ORIBATIDA/submissions/1
biodivportal.gfbio.org,LIT_I,20230519,SKOS,https://data.biodivportal.gfbio.org/ontologies/LIT_I/submissions/1
biodivportal.gfbio.org,GEONAMES,20230901,OWL,https://data.biodivportal.gfbio.org/ontologies/GEONAMES/submissions/1
biodivportal.gfbio.org,IOC,20230804,OWL,https://data.biodivportal.gfbio.org/ontologies/IOC/submissions/1
biodivportal.gfbio.org,PO,20230511,OBO,https://data.biodivportal.gfbio.org/ontologies/PO/submissions/1
biodivportal.gfbio.org,IHO,20230801,OWL,https://data.biodivportal.gfbio.org/ontologies/IHO/submissions/1
biodivportal.gfbio.org,ISOCOUNTRIES,20230516,SKOS,https://data.biodivportal.gfbio.org/ontologies/ISOCOUNTRIES/submissions/1
biodivportal.gfbio.org,BIOBANK,20230804,OWL,https://data.biodivportal.gfbio.org/ontologies/BIOBANK/submissions/1
biodivportal.gfbio.org,RECORDBASIS,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/RECORDBASIS/submissions/1
biodivportal.gfbio.org,PTO,20230801,OWL,https://data.biodivportal.gfbio.org/ontologies/PTO/submissions/1
biodivportal.gfbio.org,ENVO,20240217,OWL,https://data.biodivportal.gfbio.org/ontologies/ENVO/submissions/2
biodivportal.gfbio.org,ETS,20230511,OWL,https://data.biodivportal.gfbio.org/ontologies/ETS/submissions/1
biodivportal.gfbio.org,BOHLMANN,20231106,OWL,https://data.biodivportal.gfbio.org/ontologies/BOHLMANN/submissions/1
biodivportal.gfbio.org,SCHEMAORG,20230624,OWL,https://data.biodivportal.gfbio.org/ontologies/SCHEMAORG/submissions/1
biodivportal.gfbio.org,I-ADOPT,20230624,OWL,https://data.biodivportal.gfbio.org/ontologies/I-ADOPT/submissions/1
biodivportal.gfbio.org,BCO,20230802,OWL,https://data.biodivportal.gfbio.org/ontologies/BCO/submissions/1
biodivportal.gfbio.org,ITIS,20240325,OWL,https://data.biodivportal.gfbio.org/ontologies/ITIS/submissions/1
